post_id,text
1179086941037453314_twitter,i wanna start twitter beef with a white christian mom
19817414_gab,god will not bless the republican party who bans christians including queers is tolerance banning christians is sin cpac is no longer christian
22484190_gab,if he does something useful i was saving this or nigger pitbull shit eitherway
24156664_gab,i do not know it does not matter anyway i only have <money> but i would jump into a sewer before i swam in a pool or anything with a nigger i mean wtf are ppl thinking 🙄
19159665_gab,imagine thinking you are not in a race war already all this anti white propaganda the media spits out everyday is not real goyim go tell this nigger <user> ‍ says he should put a maga hat on
1179105689186242561_twitter,god of israel is a faggot he a joke
23170995_gab,rip nehlen he may be married to a beaner and a christcuck but at least he aiming in the right direction
1178855617949290501_twitter,<user> <user> <user> he called lesbians dumpy women who take birth control hysterical and said that boys raped by catholic priests are victims of the gay disease what exactly has he said about white people
15078775_gab,wow never had such a busy evening until now bluehand family joining gab in droves here all free speech is welcomed if snowflake soy boy leftie sjws are not content with mute or stop follow then they can fuck off to dhimmi moslem cock sucking twatter
19017382_gab,the twitter post in which l southern simonsen was exposed with her based trump hat nigger was made by a nazbol supposedly i am not too familiar with them it just funny that the white knights call some of us thot patrollers nazbol implying we are communists is alexander dugin nazbol
21455262_gab,love how leftist feminists take our lingo and try and use it in a sentence you suck at this and probably bj too it why you went full carpet muncher bet you would have loved this dyke to be president
1179008240668966912_twitter,<user> no intentionally left out he have no plans to give citizenship to illegal muslim immigrants since hindu sikh jain buddhist christian will be raped and killed in islamic countries they need refuge here
1178923049820643328_twitter,but the jews did not believe concerning him that he had been blind and received his sight until they called the parents of him that had received his sight john <time> faith bible god
1179002091555164160_twitter,explain judeo christian history of previous english kings of christian faith also past jewish kings holding woman as man property how to protect some woman from rape laws of nature allow man to rape women do not molest a man wife like not to molest his horse
6119701_gab,im a pagan so fuck the bible the founding fathers would be pissed to see a nigger in office and melting pot of european culture not 3 rd world parasites any other
6081960_gab,it is a fictional story about a mudshark vanessa her absent black husband obi o konkwo and her rogue piccaninny child jiglet it is based on real life events and characters written in the style of the janet and john books of the 6 0
3718125_gab,<user> i am a brit if you are talking about florida looks like he was a muzzie despite the wetback name
23501681_gab,before the crusades for <number> years the barbarian muslimes murdered christians and invaded took nations in europe much as they are doing now that ended with the crusades christians were forced to fight back and they destroyed the muslimes history will repeat we have no choice <user> ‍
26002598_gab,got kicked out of facebook again for <number> days because i called a muzzi alla a pedophile and a pervert no 1 st amendment over there the muzzis can call christians anything they want but not the other way around
1179059155241332736_twitter,<user> a chr*stian <censored> and a vsco girl pick a dis*bility <censored> bitch
1179101086407376896_twitter,<user> <user> <user> could you pray for all the kids who were raped by the priests and pastors over the past many decades maybe your jealous god could help his chosen flock keep there wieners in their pants god is not great
1178333310944206849_twitter,<user> <user> <user> lol i am far from a white supremacist and an islamaphobe i am anti religion and you can not argue against science oh wait you do not believe in science because your religion just like christianity or any other religion is garbage
10590985_gab,i do not encourage kafir kids to drink from moslem cups tissue is haram to them they wipe their ass with their hands
1178764288271556611_twitter,nothing says humble and loving like insulting someone character and insisting you are needed to fix them maybe start ousting the faggots and pedophiles from your church before you even begin to speak on what i need
1179064112891842560_twitter,<user> <user> dear lady basically u r advocating riyasat e madina with caliphate where non muslims 3 rd class citizens i am sure u r aware how sikh hindu christains minor girls abducted raped and converted to marry old muslim men u want that to replicate in kashmir
1178326656047386624_twitter,<user> <user> perhaps you should sto pforcing your morals on others like a 1 9 5 0 racist white christian
23721481_gab,why would i read the bible that kike created faggoty anti white shit is for low t fuckbois like you speaking of which been touched by any priests lately in that kike run pedophile cult
1178777953859248129_twitter,christianity could ve at least been more like islam and said racism is a sin to denounce half of the white supremacists alive today
27134916_gab,nick the spic le <percent> face mr being catholic pedophile is more important than being white
21861414_gab,plenty of kike christians like pelosi worry about your own kikes dumb pussy
1179031798233403393_twitter,<user> <user> <user> government forced pregnancies on <number> year old raped girls is what christian sharia law looks like in america old white men dictating women health issues and reproductive rights do better america
1178242195679113217_twitter,<user> im a <number> year single straiaght white christian man im enemy <number>
1178901621130043393_twitter,what kind of chinaman speak french i mean gotdam
19001762_gab,what is christianity but spiritual democracy who to say that aborted pail nigger is just as good and valid as you are god says the christian
2956214_gab,just once i d like to see or hear on the news about a moslem business being sued by gays why is it always the christian businesses is it because they do not threaten to kill gays by beheading or throwing them off tall buildings
13292192_gab,that fuckin beaner guard is an illegal and they was gonna have him kill paddock before and prevent the massacre then praise illegals in the news as heros but he brown so he fucked it up im calling it
21217776_gab,imagine being so disconnected that youd think a dickies work shirt and some black pants are comparable to a fur suit imagine crying about optics while writing for a site that screams nigger in every title like a <number> year old on xbox love who d just found 4 chan
26012116_gab,nothing royal about this wedding he is a bastard and she is a nignog halfbreed thot and a divorced catholic to boot it is notable that both the father of the bride and the father of the groom did not attend
25621523_gab,buddhists shit on kike filth religions so do most of the world we will kill kikes christfags hajjis as easy as stepping on ants
27692892_gab,need to put on my germany jersey can not lose this to this wetback squad
21614722_gab,tillerson is a globalist i was surprised he was ever hired he likes having queers in the boy scouts
7047490_gab,i guess this nigger and his mudshark are unaware of the merchant this is some hilarious trolling
1178812309499760640_twitter,did god actually turn into trailer trash preacher 😂
8183063_gab,jq same as the cq or the mq to me all religious fanatics are a danger to anyone who wants to be left the fuck alone granted muzzies are the current worst but it wasn t long ago that xtians were murdering abortion doctors and dragging fags behind their trucks
11599170_gab,lies christians are kike lite revelation <number> <number> i know your afflictions and your poverty — yet you are rich i know about the slander of those who say they are jews and are not but are a synagogue of satan
15911604_gab,um but you do realize that jesus was a kike and that christianity was originally another like cult right
10032177_gab,i wonder if poland will accept christian refugees from germany and france in the coming years
10579761_gab,the last time i went to catholicchurch for sunday mass the filipino priest was clearly homosexual there were like <number> white folk there these little hispanic kids were signing and dancing and the priest lectured on welcoming refugees and no latin spoken 🙉 🙉 🤢 🤢 that was it 😒 gabfam speakfreely
10740463_gab,i could be christian and i d still be posting hot women in lingerie because who does not love looking at pictures of hot women
1077631147595755520_twitter,<user> when jesus was born they were not refugees they went to bethlehem from galilee for a census
1077782730111369218_twitter,<user> lol jesus wasn ’ t a refugee him mary and joseph just went to a different part of the roman empire
1083129641064427521_twitter,<user> oh i know they are i am not an idiot i am not arguing for judeo christian bullshit that worse than islam
10844643_gab,reading the bible taking torah bible courses mandatory for any immigrant no matter what age then require they abandon islam i wish i were dictator when the king of kings comes back these folks will shrivel up in fear and run for their lives
1094806088451469312_twitter,<user> <user> my area pensioners saja pun ada liquor store 🤷 ‍ ♀ ️ 🤦 ‍ ♀ ️ dahla rata2 pious taoists buddhists christians muslims
1095096665667600384_twitter,<user> right here bro found jesus whos not just a prophet howz life u an ex muslim too from yeg
1105545423496724489_twitter,<user> it a traditional lutheran church serving estonian immigrants in southern california since <number>
1105919039526842370_twitter,<user> christian and muslim historical enemies are jews so
1107537030047657984_twitter,<user> alexandria doesnt talk about muslims do to christians in other countries only what the media teaches that dumbie what to think
1113552207234732032_twitter,<user> what are your thoughts about one world religion it seems to me that catholic church embraces islam
11169184_gab,not sure what is hypocritical about being anti violence against women a lot of the people on gab have christian values or are generally good people if you are not that on you
1120656515143127040_twitter,<user> keep muslim away defend christian faith ban abortion welcome black american babies in the us
11249431_gab,the heretical antipope of marxism has spoken never mind this pesky pedophilia problem but let invite every last moslem into christendom
11251506_gab,my sister is having an all lesbian moneynigger taternigger fight watching party is boxing a thing among girlfags or something
1126207508748619776_twitter,<user> <user> zionist jews are courting their own destruction by christian zionists that is a disturbing irony
1126801485096861696_twitter,<user> <user> are you sure i know most of you hate indian muslims and christians equally
11397937_gab,christianity role is historical protector of the jews it has afforded the tribe the time and space it needed to prepare white genocide teamwhite
11412453_gab,many reasons i just know when m billions of blax muzzeez la raza jews and christinas say they want to exterminate all white people and start doing it i believe them
1145351759205818368_twitter,i am not your devil you are zealots and nazis burn the christian air force
1146615_gab,<user> jesus is gay bt he the good kind of gay not like them fucking gay ponies
11576454_gab,classical christianity did exactly that most people only have experience with westernized christianity where it been neutered by secular society and had most of the violence and overt hatred censored out islam in the u.s. is no more violent than christianity is
1161747608114737152_twitter,<user> in my country evangelicals are the actual jews tho 😄
1166423296595787776_twitter,<user> <user> lmao clueless marxists who think jews never convert to christianity total brainlets
1168221143062286336_twitter,reason for not supporting homosexuality the bible the bible pride is a sin so called “ christians ” straight pride yeehaw
1168271529223819265_twitter,<user> funny because <number> seems to be the preferred age of sexual partners for you faux christian nazis
1176201397831983105_twitter,<user> <user> what does the bible say about domestic violence
1192820677293879297_twitter,does alcholics anonymous want to know if i jack off they have already proven themselves christian nazi fa t bitches
1193033680836534278_twitter,<user> that ’ so ghetto omg lmao this lady is dead she gone beat they ass in heaven
12143578_gab,shut the fuck up about christianity you look like a retard everytime you talk about it if people actually followed the bible teaching then it would cure shit but you point to weak faggots who claim christian values but do not follow the bible as some sort of proof very weak
1215629083964583936_twitter,<user> christian or muslim your heart and love towards humanity is what makes you a good christian and a good muslim
12192046_gab,jesus never met a chinaman
1238874021992726529_twitter,<user> he fully retarded she christian 😂
1249522206390059009_twitter,<user> <user> you retards elected and started worshiping the antichrist god sent a plague repent asshole
12673633_gab,perhaps the bigger impact was within the demographic breakdown where muslims dropped from nearly half of refugees under mr obama to slightly more than a third christians meanwhile went from <number> percent to <number> percent under mr trump
12686914_gab,i need feminism because it justifies my choice not to marry and lead a family it also allows me easy access to porn and prostitutes i can also signal my superiority to christians by supporting gay marriage transgender nudity and late term abortion
1272209989436944385_twitter,why the fuck is this fatneck musclehead retard on my tl holy shit
12724363_gab,you know what i roughly gather from them banning me for saying that i gather the hidden message that i am supposed to be fucking blacks and arabs jesus christ another time i was kicked off for saying i do not do crack it a ghetto drug
12731312_gab,it going to get oh so much worse for you faux patriots fake christians pushing jew degeneracy onto our people jealous whore america belongs to us now not you millennial slut bitches go marry a jew if you have not already they love aging gentile whores
1274556576704028672_twitter,catholic leaders don ’ t forget refugees during pandemic via <user>
12940213_gab,leave it to christians to send women to die in war because they do not want them opressed of course i am joking but i am sure it hard to tell for some
13225377_gab,lol i did not want to run out of space but do not forget deplorable redneck bible clinging gun toting homo hating science deniers
13525359_gab,seems like the only purpose to christianity anymore is to ensure the annihilation of the white race via the suicidal worship of jews maga altright
13532599_gab,why can not women be catholic priests because you can not shove a vagina up a little boy arse
13683282_gab,the jews and muslims grew up together and the jews gave birth to christianity catholicism and later on mormonism like a big religion family
13702738_gab,do not worry as long as there are two people in the world there will be war just look at how christians want to shed black and muslim blood just to keep america bleached
13986771_gab,at least harvey weinstein only raped and assaulted the gentiles not angelina jolie or gwyneth paltrow so he still a good jew spacey not a jew 😦 😊
14013635_gab,<number> unlike the islamic world the west cherishes human life so we do not need muslims to teach us how to love <number> religious groups which facilitate refugee immigration are paid by the head making venture catholic lutheran churches lead in this operation
14268656_gab,do not worry she will not die the christians are letting niggers into heaven
14507125_gab,the lord is a man of war the lord is his name if you know jesus then you know the father christianity is not some bitch made religion frankly heretics like you deserve condemnation too
14533988_gab,adopting pro homosexual policies walmart plays both sides of the social issues culture war it does this by cultivating good relations with both homosexual activists like human rights campaign and christian conservative organizations like american family association afa
15122698_gab,story headline is misleading the actual issue reads as highly superstitious nominally christianized african immigrants abusing accidentally murdering their kids in diy exorcism attempts kids might not have been demon possessed at all except in the minds of nutbag parents theyhavetogoback
15353812_gab,oh i am not triggered i am actualy laughing my ass off at a retard like you such a pathetic christian you can not grasp your head around gravity wells or how an atmosphere is confined to that gravity well or even how particle physics work within a gravity well
15632048_gab,a random ghetto spongebob meme <number> u
15735838_gab,✝ ️ dear jesus lord in heaven our savior please dear loving heavenly father and son of the one true christian god ✝ ️ please answer my prayer jesus please have the white nonsense roundup group create a gab acct dear jesus all loving savior please lead these morbidly obese retarded mudsharks to me 😇
15742628_gab,i love those liberaltears the muslim ban and the recognition of jerusalem as israel capital shows arabs antisemitism causing more redpillingofthenormies i fucking love you president trump just do not be a cuck to liberals donald <user>
15756713_gab,i so hope this jew hating pope is killed by one of his muslim buddies
15800013_gab,msm tatics if shooter is not white bitch about gun control if white use the nazi angle blame trump and probably roll out gabby giffords and the usual suspects
16154028_gab,still avoiding my questions i see castrato what do you have against people hating the marxist cultural agenda led by your beloved jews who also lead the homosexual movement which you apparently support is it because you are a faggoty posin person masquerading as a christian
16305704_gab,the alt right is corrupted with people supporting racemixing with asians and homosexuals it time for a new nationalism
16319730_gab,the majority of christians are niggers and spics fail
16353302_gab,good morning to all the new gabbers except kikes liberals fags leftists communists boomers zionists israel firstitards antifags spics and niggers because
16389314_gab,what does roman catholic have to do with jews were not the catholics the crusaders we need to fight the arabs not the jews not yet anyway
16432304_gab,will i get in trouble for saying nigger or towelhead here
16499854_gab,as if you need more evidence to see how absolutely retarded flat earthers are
16583591_gab,qanon maga fakenews popefrancis administers final rites at cardinal law funeral as abuse victims speak out law resigned in disgrace as archbishop of boston in <number> after revelations that he covered up for dozens of priests who raped children
16925508_gab,wtf where are the satanists and athiests who bitch about christianity i dont see them complaining about this b ugh homeschool or private school are our only options at this point
16934444_gab,to the downvoter do you deny this take a gander at <user> posts regarding modern christians a k a cuckstians fake christians who put jews on a pedestal and promulgate a suicidal worship of the other many such cases
16965071_gab,what happens when you import niggers mudslimes their culture includes gang rape and honor killings of course they have no regard for western values they cant overcome there nature i do not blame the poc slime i blame the whites who let them in and the jews scheming has an effect
16992841_gab,myself paul jayda fransen enjoying a bit of downtime from our stressfull dangerous lives well never surrender to islam we are christian soldiers ns we are the people
17056454_gab,the jews and muslims being assimilated by the catholic order anyways lets get back on topic
17090649_gab,as the catholic church today meddles in usa politics by trying to bring in mexican immigrants and shielding illegal alien mexicans the same catholic church worked hard to flood the usa with immigrants <number> years ago catholics were the first great destroyers of the usa
17092374_gab,what was meant as a workable salvation for all a banner for bold brave men ye make a ghetto for the insipid pleasures of impractical self flagellating piety addicts the pharisees persecuted the church and it grew ye join the church and the world shrugs and ambles away bored churchians
17363936_gab,<number> ghetto white people who did drugs and got abortions and could not speak without using the f word they were called white negroes the black culture has become part of america white people endorsing this immorality and violence is why we are in decline
17374984_gab,white men must change back to pre 1 9 6 0 when men married and raised their kids men worked at whatever job it took to make sure their family had a good life white men must reject ghetto morals and live for god family and america
17398821_gab,uh he wasn t a kid and i am positive heaven is not being turned into a nigger ghetto
17474333_gab,gab needs to swap up the live topics more frequently ive got nothing to gossip about tired of fighting nazis who use the same arguing methods as the democrats and communists and are afraid of pictures of naked women like the catholics -_-
17538540_gab,a quick web search turns up that in some ancient cultures polygyny was explicitly restricted to cases where the woman failed to yield children does the bible have that restriction not that i have seen jacob had children with four women simultaneously it would appear you are simply wrong
18200598_gab,this cathocuck literally argues that to be a good christian you need to be a cuckold ok folks no more making white babies go to the nearest ghetto and adopt a dindu you heard the man cuck schmitz email <email>
18552129_gab,remeber they come at you with a smile then ask you hate jews blacks the mexicans not the illegal ones just regulars then ask you repent for your sins repent is another fake christian do not fallow there a wako texas style christian lmfao funny gay nazis whitesupreamist fbi will be watching 😉 🤗 🤗 🤗 🤗
18596533_gab,national capitalism now no wanting people to have money is hatespeech and stop calling it national capitalism we jews decided political dissenters of zionism should call themselves national socialists so that conservatives and christians capitalists never listen to them
18613932_gab,the hollywood ziojesuit multi cultural marxist scum uses africans their ghetto music homosexuals and other people of color to brainwash and normalize whites christians to their great replacement and genocide sick
18614143_gab,stinks getting our women killed in battle now because of the anti white cultural marxist scum in our white christian government trying to replace us and kill us using people of color
18768849_gab,all liberals christians conservatives soldiers nationalsocialists feminists gays libertarians trumpters etc want money to be happy and therefore were in reaility national capitalists nc thats the narrative jews dont want you to hear because it would unite us vs them
19029646_gab,yeah you better show alittle more than what islam promotes and does dont see hordes of jews burning christians and preforming honor killings
19101649_gab,what your advice to a straight white conservative christian male with strong opinions trying to get a job
19136881_gab,italy is for italians get the immigrants to go back to their shitholes america is for americans europe is for europeans clear
19244919_gab,thinks god told him it ok to attack women confuses christianity with islam ideology still says he christian 🤔
19621217_gab,you are confusing ghetto niggas with christian blacks if you do not see a difference it because you have not associated with many christian blacks but then why would you you are an atheist you and i do share the common goal of stopping more anti white mongrels from invading america though
19756884_gab,also using the bible as a history book is fucking retarded since stories like noah and the flood is a rip off of the demiurge of sumerian lore and passover has no basis in reality
19788951_gab,btw sis does the israeli iq number include the iq of the inbred muslim palestinians if so that would really reduce the overall score do they have books in zimbabwae noticed you left out the ethiopian christians ruh roe sis is going to cry some more
19928287_gab,remember christ tried to save the jews and the bastards killed him because he challenged their corrupt authority over what was supposed to be god people god foresaked the jews via christ even god is sick and tired of jews
19934530_gab,new testament do you even read any idea why christian women cover their hair until <number> but i say unto you that whosoever looketh on a woman to lust after her hath committed adultery with her already in his heart matthew <time> yes this applies to dispensationalists
19978395_gab,private vs low i q sand nigger jews who whites stupidly through their sandnigger religion christianity control their pagan white countries nice work christ cucks jews now cuck your pagan white countries
19981958_gab,jews have alot to answer for including the creation of fake sand nigger religions like christianity islam responsible for genociding millions of white
19986739_gab,christianity is exploding in africa because christianity is a primitive jewish sand nigger religion lol no surprise there if only white chritsians moved over there took their primitive jewish sand nigger religion with them
20147416_gab,hitler was a christian you retard
20224785_gab,this propaganda campaign worked with gay marriage the supreme court overturned the will of the people and christians are now being persecuted by their own government that was always the gay marriage endgame and a helpless populace is gun control endgame
20316549_gab,how the fakenews would report on jesus driving the money changers from the temples in a contemporary fashion with jews you lose
20726252_gab,free speech is not good certain opinions and speech should be illegal punishable by several years to life in prison and for especially heinous hate speech death penalty so shut the fuck up faggot
20883455_gab,south africans should not come to the usa they should stay and fight if <number> m whites can not whip 1 0 x their number in niggers they are not real whites the usa will not save you we are a bunch of kiked out christian faggots not unlike yeah good luck pieter pooeters
20981936_gab,hail mary full of grace the lord is with thee blessed art thou among women and blessed is the fruit of thy womb jesus
20997121_gab,there have to be runway model forums where the bitches are less catty about dress differences than this trs thread it what they all agree on that where the real problems are thinking christianity good and violence bad
21059247_gab,when i say jew like i mean i read and think and i do not change positions like all you christian conservative faggots even if you call yourself racialists most of you really are just another whitewashed mewling christian cuntservative
21376818_gab,jews and vatican using the niggers to do dirty work jews used rome to kill jesus nothing new under sun fuck the vatican and the catholic church with is dead jesus on the cross the cocksuckers of tammuz pope kiss a a babies cock dirty pedo wankers
21760024_gab,that a retarded non argument the bible is also a best seller in communist china
21899094_gab,these fucking kikes are going to get us all killed and you fucking retarded christian cretins are the reason they have power
22658767_gab,lmao i thought they already did this on the history channel look goys jesus wasn t a white guy with blonde hair but a sand nigger mexican
22825632_gab,<user> ‍ actually the first christians were jews therefore being called a jew actually means rejecting christ and today jews are not the hebrews of the bible they are the synagogue of satan an international criminal mobster cabal
22874658_gab,theresa may has recorded a video wishing jews a happy passover she did the same for moslems at ramadam it seems someone forgot to tell the old bag to do the same for easter or she thinks so little of christians she could not be bothered
22928931_gab,dumb dumb the nt explicitly tells us that jewish blood does not give them any special favor with god after christ and that jews who refuse to follow jesus are of the devil
22953083_gab,hypothesis jews push miscegenation on whites because jews themselves race mix and religion mix in such high numbers that they do not want to feel like bigger oddballs than they already are in gentile nations like the us mixery loves company
2300557_gab,<number> yr ago muslims shot killed whites blacks latinos asians christians jews for the fact they were non muslim americans sanbernardino
23153961_gab,christianity turned whites into lugubrious losers that why even white kids prefer nigger music because niggers do not sound beaten down white christians always do
23224258_gab,we will not build a wall around the countless refugees looking to flee christian persecution and seek economic advantages
23668429_gab,the baptist church and its retarded disciples are the biggest enablers of the zionist elite and yet there still have people wondering how the jews took over the world 🤦 🏻 ‍ ♂ ️
23794758_gab,you are confusing jews with whites again
23875324_gab,the <number> enemy of white south africans isnt niggers it their insane belief in the jewish bible for whiteskin idiots
2391303_gab,what kind of mentally cripple people would collect money for refugees at their daughter funeral after a refugee raped and killed her we would never see a muslim family in the middle east rasising money for a christian who raped and killed their daughter they are winning because we are letting them
24341213_gab,wotta day for putting the flag on top of your car and drive through the caliphates playing onwards christian soldiers full blast on a ghetto blaster
24347025_gab,ghetto niggers know ghetto nigger stuff what can i say other than war is not ghetto nigger nonsense grow up lil guy your stupid is showing
24555628_gab,jews defends jews regardless muslims defend muslins regardless christian european attack christians christian people are on their own and jews and muslims have another home we don ffs we do not why can not people understand that it not that difficult
25030808_gab,yeah it would have been so much better to let the nazis kill all the jews and all niggers and all the catholics and all the mud people and all the
25987092_gab,and the lesson is that the only just king of the white race is christ the only path to a white nation is his coming kingdom
26061569_gab,its beautiful artwork i love the homosexual imagery you like to use did you know that jesus was an arab
2642618_gab,its nice to know some of the refugees are converting to christians
26443311_gab,i should post pics of muslim women sucking christian cock lol
26885241_gab,as well as to promote islam and confuse christian values anyone not helping muslim refugees is not a good christian although they believe in the antichrist and christ was just a man
26954318_gab,idk gpaw if we have to suffer the presence of shitskins i d much rather they were raised by a bunch of faggots than by the animals that birthed them or god forbid these disgusting white christian cucks ya know
27013885_gab,if your church helps 3 rd world refugees but does not help white american opioid addicts your church is actually a suicidal leftist satanic cult
2702487_gab,happy sunday prayers for the copts at home and abroad effected by the violence in cairo
27328494_gab,preachers preach to women to control the men this is the way the devil operates and he is running your church
27518270_gab,the thought of ethnonationalism frightens the blaq man not just because he worried about violence being done to his ppl at the hands of whitey but also because he understands that despite his critiques of white solidarity blaqs are just as hostile towards one another he needs wypipo to blame
27545428_gab,sessions cites bible to defend separating immigrant families hotpagenews com r <number>
2764024_gab,it figures that instead of investigating saudi arabia influence on clinton they would go after the white christian country russophobes maga gabfam speakfreely trump
2775127_gab,why is it all the faggots who demand christian bakers bake them a faggot loving cake have never found a muslim bakery demanded the muslims bake them a faggot loving cake always remember the truth is hate speech to those who hate the truth
27962295_gab,chettoes u mean ghettos the places the kike gathered to subvert christianity
2984952_gab,it illegal to compel a gay baker to bake a cake with a pro marriage message it illegal for a christian baker to be willing to serve gays but not be willing to bake a wedding cake for them tom trinko sjwlogic
3019001_gab,we should treat muslim refugees the same way that they would treat christian refugees they will beg to go back to their war zones
3243172_gab,my moms friend says i should b more kind <number> the filthy jews so im gonna start calling them grimey jews since im filled with christ love on the christmas holiday even tho the fucking jews murdered jesus who was white
3481859_gab,maga supremacy is wrong whether its globalist jewish supremacy or white supremacy it antichristian and thus born to fail evil always ends up losing to the good side
3577235_gab,<user> the real refugees are the christians in the middle east yemeni for example obama only wants isis in america to further the caliphate agenda americans are not europeans more guns ammo in citizens home than most armies 2 nda rkba
4059367_gab,some people seeing something unusual feel so shocked that they want to kill and destroy it immediately it retarded as all fundamentalism is
4194438_gab,the canadian legal profession is absolutely infested with dirty faggots dykes trannies these perverts persecute normal souls especially christians cursecanada cursethecrown
4592022_gab,the republican efforts to get their own magic negro into the presidency was an attempt to recreate a kinder friendlier version of obama they could lead him by the nose on foreign policy while keeping economic policy status quo and getting less racial tension libs were right uncle tom
4746287_gab,my grammar nazi mate has recently become a born again christian now all he talks about is jesus and his twelve apostrophes
5553750_gab,let face it even the amish are way ahead of most muslim countries the amish shun technology too but they are peaceful and do not insist everyone adopt their ways way ahead of most muslim countries
5886231_gab,marxist bolshevik elements on the left have clearly indicated via various news reports that they will resort 2 any form of violence if necessary they really do not care how they r perceived by the general public <user> point all they want is 2 preserve their obamanation at all costs basedstickman
6088348_gab,do not lower alt white credibility by saying the holocaust never happened instead say the holocaust was hugely exaggerated defensive and unimportant next to the marxist genocide of white christians lots of jews definitely starved in the camps when germany was on tight rations
6353337_gab,congratulations londonistan in <number> short years you managed to get back the caliphate the evil celts stole good job queen of farts and parliament will you be killing the evil whites yourselves or will you have a superior shitskin do it
6361902_gab,attention all you right wing straight christian males please quit going around killing people in the name of jesus you are making other christians look bad you are the religion of peace how often do you here mudslimes say things like that one in <number> million
7147551_gab,this communist bitch has to go she should not be teaching middle school or any school for that matter she a danger to freedom and to society outantifa
7460514_gab,it was most certainly high even for secular jews during the ellis island days but i think the percentage of jews relative to their population that use welfare is higher than say asians or white catholics not sure though
7573904_gab,i wonder if this pos judge has ever ordered a muslim to learn about christian faith for <number> mos at a christian church
7592411_gab,can you believe that some christians advocate violence against pharisees it just awful the way they persecute the peace loving frothing at the mouth mob still screaming crucify him after <number> years how are they supposed to purge the ussa like the ussr at this rate oy vey
8132018_gab,a glance at pew research shows that today the political affiliation of white catholics in the us mimic the party affiliation ratio of white people as a whole not sure when that shift happened probably post kennedy
8304924_gab,<number> <number> sahih international adds before mohammed and muslim comentators agree this verse does not apply to today christians ibn abbas even thought this verse was abrogated by <number> <number> conclusion doesnt apply for today christians
9551353_gab,the catholic church stopped being a bulwark against western rot when the church became infested with homosexuals it is now just as if not more corrupted than the government bureaucracies of western nations and has sunk so low we are hearing stories of depraved gay orgies on sacred church ground
9595415_gab,im sure those moab bombs dont damage the homes of hard working christian arabs right ↓
9853994_gab,define fair a trial with of the jury consisting of the women they raped a trial with the jury consisting of the families of the people they slaughtered a trial with the jury consisting of christians
