Topic_ID,Topic_Size,Top_Targets,Target_Categories,Unique_Targets,LLM_Enriched_Rows
0,499,"['統一教会(451)', '安倍晋三(92)', '自民党(51)', '日本人(21)', '韓国(16)', '創価学会(15)', '山上(14)', '北朝鮮(14)', '韓国人(13)', 'ネトウヨ(12)']","{'Organization': 600, 'Specific Person': 302, 'Political Group': 157, 'Social Identity': 149, 'Religious Group': 30}",348,480
1,312,"['Trump(90)', 'トランプ(34)', 'Christian(32)', 'Catholics(28)', 'Catholic(25)', 'Jesus(25)', '川普(18)', '基督徒(15)', 'Christians(14)', '耶稣(11)']","{'PERSON': 384, 'NORP': 254, 'ORG': 178, 'Specific Person': 127, 'Social Identity': 104}",623,79
2,208,"['教会(63)', '神父(43)', 'priests(31)', '耶稣(26)', '主教(20)', '信徒(18)', 'Jesus(17)', '教皇(11)', 'イエス・キリスト(11)', 'bishops(10)']","{'Social Identity': 217, 'PERSON': 108, 'Organization': 91, 'ORG': 65, 'NORP': 63}",279,39
3,149,"['教会(38)', 'LGBT(20)', '神父(18)', 'LGBTQ(11)', 'priests(10)', '信徒(9)', 'Jesus(9)', 'カトリック(9)', 'Catholic(8)', 'Catholics(7)']","{'Social Identity': 145, 'PERSON': 50, 'Organization': 47, 'Religious Group': 40, 'NORP': 39}",168,53
4,143,"['耶稣(12)', '神棍(12)', '神父(11)', 'Jesus(10)', '基督徒(6)', '教堂(6)', '修女(6)', 'キリスト教(6)', 'Satan(4)', '基督狗(3)']","{'PERSON': 75, 'Social Identity': 62, 'Specific Person': 60, 'NORP': 26, 'Organization': 23}",192,21
5,138,"['Jesus(24)', '教会(17)', 'Catholics(14)', '神父(13)', 'Catholic(13)', 'priests(10)', '耶稣(9)', 'Christian(9)', '信徒(7)', 'Vatican(5)']","{'PERSON': 83, 'NORP': 79, 'Social Identity': 63, 'ORG': 56, 'Organization': 34}",226,18
6,122,"['神父(32)', '教会(31)', '主教(16)', 'priests(14)', '教皇(12)', 'bishops(11)', '梵蒂冈(9)', '神职人员(8)', 'Catholic Church(8)', 'Jesus(8)']","{'Social Identity': 123, 'PERSON': 77, 'Organization': 72, 'ORG': 54, 'Specific Person': 47}",204,38
7,119,"['Jesus(21)', '耶稣(7)', '教会(6)', 'Christian(6)', 'キリスト教(6)', '神棍(4)', 'クリスチャン(4)', 'イエス・キリスト(4)', '基督徒(3)', '基督教(3)']","{'PERSON': 80, 'NORP': 34, 'Religious Group': 19, 'Organization': 11, 'Specific Person': 10}",116,19
8,117,"['教会(19)', 'Catholic(10)', 'カトリック(8)', 'Christian(7)', 'Jesus(7)', '信徒(6)', '耶稣(5)', '主教(5)', '神父(5)', '教団(5)']","{'NORP': 54, 'Social Identity': 46, 'PERSON': 45, 'Organization': 44, 'ORG': 40}",170,38
9,103,"['耶稣(62)', 'Jesus(13)', '孔子(10)', '洪秀全(6)', 'イエス・キリスト(5)', '耶稣手(4)', '格里菲斯(3)', '基督教(3)', '耶稣布(2)', '孙悟空(2)']","{'PERSON': 82, 'Specific Person': 27, 'ORG': 15, 'NORP': 13, 'Social Identity': 8}",62,12
10,93,"['耶稣(9)', 'Jesus(6)', '教会(4)', 'Christian(3)', '犹太人(2)', '基督教(2)', 'Christians(2)', 'イエス・キリスト(2)', 'キリスト教(2)', '教皇(1)']","{'PERSON': 32, 'NORP': 14, 'Specific Person': 8, 'Social Identity': 8, 'Organization': 6}",61,8
11,81,"['Christians(12)', 'キリスト教(9)', '基督教(8)', 'Christian(8)', '基督徒(7)', 'Jesus(5)', 'イスラム(5)', 'キリスト教徒(5)', '绿教(3)', 'Muslims(3)']","{'NORP': 59, 'ORG': 40, 'Religious Group': 37, 'PERSON': 35, 'GPE': 24}",160,26
12,80,"['教会(19)', 'Jesus(10)', '耶稣(8)', '神父(8)', 'Catholic(8)', 'Catholics(6)', '天主教徒(4)', '主教(4)', 'Pope Francis(4)', 'イエス・キリスト(4)']","{'PERSON': 43, 'NORP': 37, 'Social Identity': 32, 'Organization': 26, 'ORG': 15}",94,15
13,75,"['Catholic(17)', '教会(10)', 'Christian(6)', '統一教会(4)', '教会学校(3)', 'Catholics(3)', 'evangelical(3)', 'Ontario(3)', '主教(2)', '信徒(2)']","{'NORP': 47, 'Organization': 28, 'ORG': 20, 'GPE': 14, 'Social Identity': 13}",102,23
14,66,"['統一教会(8)', '自民党(6)', 'Christian(5)', '神棍(4)', '信徒(4)', '中国(3)', '基督教(3)', '基督徒(2)', '教会(2)', '教堂(2)']","{'NORP': 25, 'Social Identity': 23, 'ORG': 22, 'Organization': 16, 'Religious Group': 16}",101,27
15,65,"['カトリック(24)', 'Catholics(10)', 'Catholic(9)', 'Jesus(4)', 'ローマカトリック教会(4)', '天主教(3)', '教会(3)', 'Pope(3)', 'the Catholic Church(3)', 'Catholic Church(3)']","{'Religious Group': 38, 'NORP': 27, 'PERSON': 14, 'ORG': 12, 'Organization': 12}",62,34
16,61,"['Canada(26)', 'Christian(10)', 'Christians(8)', 'Canadians(7)', 'Trudeau(6)', 'Harper(6)', 'Canadian(4)', 'Islam(3)', 'Catholics(3)', 'Justin(3)']","{'NORP': 86, 'PERSON': 61, 'GPE': 49, 'ORG': 30, 'Social Identity': 15}",178,4
17,60,"['キリスト教(11)', '基督徒(5)', '耶稣(4)', '教会(3)', '基督教(3)', 'Christian(3)', 'キリスト者(3)', 'クリスチャン(3)', 'christian(2)', '幸福の科学(2)']","{'Religious Group': 22, 'NORP': 16, 'Social Identity': 10, 'Organization': 9, 'ORG': 8}",49,29
18,58,"['NCR(15)', 'Catholic(10)', 'Catholics(10)', 'カトリック(8)', 'MSW(7)', '教会(5)', 'priests(4)', '天主教(3)', 'progressive(3)', 'Trump(3)']","{'ORG': 47, 'Social Identity': 34, 'NORP': 27, 'PERSON': 26, 'Religious Group': 18}",114,16
19,57,"['Jesus(21)', '耶稣(11)', '基督徒(4)', '教会(3)', 'Pharisee(3)', '信徒(2)', '耶稣骂(2)', '法利赛人(2)', '教徒(2)', '基督(2)']","{'PERSON': 46, 'NORP': 19, 'Religious Group': 11, 'ORG': 11, 'Specific Person': 8}",63,4
20,47,"['修女(37)', '神父(9)', '修道院(7)', '教会(5)', '修士(2)', '欧洲(2)', 'nuns(2)', '善坐莲(1)', '泰山(1)', '耶教(1)']","{'Social Identity': 54, 'Organization': 15, 'NORP': 11, 'PERSON': 6, 'ORG': 3}",37,3
21,45,"['教会(20)', '信徒(7)', '耶稣(3)', '神棍(3)', '教堂(3)', '牧师(3)', 'Jesus(3)', '信众(2)', '神父(2)', '主教(2)']","{'Organization': 29, 'ORG': 22, 'PERSON': 20, 'NORP': 18, 'Social Identity': 16}",87,6
22,45,"['圣母婊(15)', '耶稣(5)', '教会(4)', 'マリア(3)', '主教(2)', '马利亚(2)', 'カトリック(2)', '天主教(1)', '托马斯(1)', '腓力(1)']","{'Social Identity': 20, 'Specific Person': 16, 'PERSON': 13, 'Organization': 10, 'Religious Group': 6}",46,15
23,42,"['キリスト教(18)', 'キリスト教徒(5)', 'クリスチャン(2)', '伊斯兰教(1)', '基督教(1)', '邪教(1)', 'キリスト教教徒(1)', '異教徒(1)', 'アマレク人(1)', 'イエス・キリスト(1)']","{'Religious Group': 27, 'Social Identity': 4, 'ORG': 2}",11,27
24,42,"['教会(11)', '梵二(7)', '教皇(5)', '主教(4)', 'Pope(4)', 'Vatican(4)', 'Jesus(4)', 'Rome(4)', 'カトリック(4)', '第二バチカン公会議(4)']","{'PERSON': 41, 'Specific Person': 35, 'ORG': 31, 'Organization': 30, 'Social Identity': 28}",142,12
25,42,"['白人(4)', 'Christian(3)', '黒人(3)', 'Christians(2)', 'American(2)', 'conservatives(2)', '自民党(2)', '統一教会(2)', 'ポリコレ(2)', '日本人(2)']","{'Social Identity': 42, 'NORP': 30, 'PERSON': 20, 'Specific Person': 14, 'Political Group': 12}",125,18
26,38,"['神父(18)', '主教(2)', '传教士(2)', '修道院(2)', '教堂(1)', '��(1)', '教皇(1)', '普奇神父(1)', '圣公会(1)', '教会(1)']","{'Social Identity': 24, 'ORG': 5, 'NORP': 4, 'FAC': 4, 'Organization': 3}",24,1
27,36,"['Christian(7)', 'Jesus(4)', 'gays(4)', '基督徒(3)', '信徒(2)', 'LGBT(2)', 'Christians(2)', '教会(1)', '神棍(1)', '张三李四(1)']","{'NORP': 28, 'Social Identity': 24, 'ORG': 15, 'PERSON': 11, 'Organization': 6}",80,10
28,35,"['伯克(12)', '教皇方济各(10)', '教会(10)', '教皇(9)', 'バーク(8)', '异端(5)', 'フランシスコ(5)', '教皇フランシスコ(4)', 'フランシスコ教皇(4)', '主教(3)']","{'Specific Person': 60, 'PERSON': 26, 'Social Identity': 21, 'Organization': 18, 'ORG': 7}",82,17
29,32,"['耶稣(5)', 'Christian(4)', '基督徒(3)', 'Jesus(3)', '耶稣爱(1)', '达尔文(1)', '基督教(1)', '闽南人(1)', 'James(1)', 'Thor(1)']","{'PERSON': 8, 'NORP': 8, 'Religious Group': 5, 'Specific Person': 4, 'ORG': 1}",16,5
30,30,"['基督教(15)', '天主教(4)', '东正教(4)', '新教(3)', '基督徒(2)', '神父(2)', '教会(1)', '梵蒂冈(1)', '中华(1)', '伊托邦洪波(1)']","{'ORG': 29, 'Organization': 8, 'NORP': 7, 'Religious Group': 4, 'GPE': 4}",34,4
31,30,"['中国共産党(9)', '統一教会(6)', '中国(5)', 'ユダヤ国際金融資本(5)', 'ユダヤ人(5)', '全能神教会(4)', 'キリスト教(4)', 'クリスチャン(3)', 'ユダヤ共産主義(3)', 'キリスト教会(2)']","{'Organization': 29, 'Religious Group': 19, 'Political Group': 18, 'Social Identity': 14, 'Specific Person': 2}",40,27
32,29,"['Christians(5)', 'Jesus(4)', 'Catholics(4)', 'Pope Francis(3)', '教会(2)', 'bishops(2)', 'priests(2)', 'Bishop(2)', 'Pope(2)', 'Protestant(2)']","{'NORP': 24, 'PERSON': 23, 'ORG': 18, 'Social Identity': 14, 'Specific Person': 7}",79,3
33,29,"['Catholic(5)', '共和党(3)', '教会(3)', 'conservative(3)', '耶稣(2)', '主教(2)', '天主教(2)', '新興宗教(2)', '教堂(1)', '美国(1)']","{'ORG': 24, 'PERSON': 16, 'NORP': 15, 'Social Identity': 12, 'Organization': 9}",80,9
34,29,"['教会(6)', '天主教会(6)', '信徒(4)', 'カトリック(3)', '耶稣(2)', '政府(2)', '天主教(2)', '統一教会(2)', '基督教(1)', '天主教徒们(1)']","{'ORG': 17, 'Organization': 14, 'Religious Group': 11, 'Social Identity': 5, 'NORP': 4}",38,10
35,29,"['耶稣(7)', 'Jesus(7)', '基督徒(2)', '教会(2)', 'クリスチャン(2)', '基督旗号(1)', '耶稣会(1)', '财神爷(1)', '社会主义(1)', '奥巴马(1)']","{'PERSON': 16, 'ORG': 14, 'NORP': 12, 'Specific Person': 8, 'GPE': 5}",56,5
36,25,"['教会(4)', 'Catholics(4)', '主教(3)', '保守派(3)', 'Catholic(3)', '左派(2)', '耶稣(2)', '神父(2)', '教徒(2)', 'progressives(2)']","{'Social Identity': 21, 'ORG': 13, 'NORP': 12, 'Religious Group': 11, 'PERSON': 10}",59,5
37,25,"['佛教(9)', '基督教(8)', '中国(5)', '中国人(5)', '耶稣(3)', '伊斯兰教(3)', '道教(3)', '佛教徒(2)', '天主教(2)', 'misskuhn(1)']","{'NORP': 35, 'PERSON': 17, 'ORG': 13, 'GPE': 6, 'Organization': 3}",50,2
38,25,"['基督教(14)', '邪教(7)', '伊斯兰教(4)', '犹太教(3)', 'キリスト教(3)', '基督徒(2)', '穆斯林(2)', '基督犹太(1)', '伊斯兰回(1)', '异教徒(1)']","{'ORG': 19, 'NORP': 14, 'Social Identity': 9, 'PERSON': 5, 'GPE': 4}",32,6
39,24,"['基督徒(6)', '信徒(4)', '耶稣(3)', '神棍(2)', 'Jesus(2)', '科技大学(1)', '赵神棍(1)', '中国(1)', '教徒(1)', '上帝教徒(1)']","{'NORP': 10, 'PERSON': 8, 'Religious Group': 7, 'ORG': 5, 'Social Identity': 5}",29,5
40,23,"['基督教(3)', '教徒(2)', '耶稣会(2)', '信徒(2)', '神棍(2)', 'イエス・キリスト(2)', '耶路撒冷(1)', '彼得(1)', '传教士(1)', '基督(1)']","{'Social Identity': 9, 'Religious Group': 5, 'ORG': 5, 'Specific Person': 5, 'PERSON': 3}",27,5
41,22,"['Catholics(7)', 'Catholic(6)', 'カトリック(6)', 'the Vatican II Church(1)', 'Vatican II Church(1)', 'Eastern Catholic(1)', 'Roman Catholic(1)', 'Orthodox(1)', 'priests(1)', 'christian(1)']","{'NORP': 15, 'Religious Group': 8, 'Social Identity': 3, 'PERSON': 3, 'ORG': 1}",15,9
42,22,"['异端(9)', '阿米念(5)', '基督徒(4)', '加尔文主义者(3)', 'キリスト教(3)', '加尔文主义(2)', 'ローマカトリック教会(2)', '宇宙人(2)', '邪霊(2)', '悪霊(2)']","{'Social Identity': 21, 'NORP': 10, 'Organization': 8, 'Religious Group': 6, 'PERSON': 5}",29,10
43,22,"['传教士(14)', '教会(2)', '教皇(2)', '儒家(2)', '中国(2)', '道教(2)', '孔子学院(1)', '基督教(1)', '汉文化(1)', '大陆中国(1)']","{'Social Identity': 17, 'NORP': 10, 'GPE': 7, 'ORG': 6, 'PERSON': 4}",35,4
44,21,"['教会(11)', '教皇方济各(9)', '教皇(8)', '主教(5)', '信徒(3)', '梵蒂冈(2)', '神棍(2)', '红衣主教(2)', '耶稣(2)', 'フランシスコ(2)']","{'Specific Person': 22, 'Organization': 14, 'Social Identity': 10, 'PERSON': 9, 'Religious Group': 7}",35,5
45,20,"['基督徒(6)', '韩磊(3)', '耶稣(3)', '中国(2)', 'Christian(2)', '知青记者(1)', '连鹏(1)', '聂国宏(1)', '滑力加(1)', '基督山(1)']","{'PERSON': 36, 'ORG': 8, 'NORP': 8, 'GPE': 3, 'Social Identity': 2}",49,0
46,20,"['Christians(4)', 'Christian(3)', 'Jesus(2)', '洋教(1)', '大卫王(1)', 'tommyvaughan(1)', 'chibaicf(1)', '基督教(1)', '神父(1)', 'Trump(1)']","{'NORP': 12, 'PERSON': 10, 'ORG': 4, 'Religious Group': 2, 'Social Identity': 2}",25,2
