Source,Target,Weight,Type
Topic 0,安倍は統一教会とズブズブ,217,Topic-to-Target
Topic 1,catholics,196,Topic-to-Target
Topic 2,Priests/Clergy,115,Topic-to-Target
Topic 5,catholics,114,Topic-to-Target
Topic 3,bishops,98,Topic-to-Target
Topic 2,women,89,Topic-to-Target
Topic 8,catholics,82,Topic-to-Target
Topic 6,bishops,71,Topic-to-Target
Topic 1,trump,71,Topic-to-Target
Topic 18,catholics,62,Topic-to-Target
Topic 16,christians,56,Topic-to-Target
Topic 13,catholic schools,48,Topic-to-Target
Topic 17,fundamentalist christian,41,Topic-to-Target
Topic 0,日本会議,39,Topic-to-Target
Topic 2,Church (General),37,Topic-to-Target
Topic 0,自民党,36,Topic-to-Target
catholics,Do: think,35,Target-to-Tactic
Topic 19,pharisee,33,Topic-to-Target
Topic 19,Jesus,32,Topic-to-Target
Topic 14,Christianity,30,Topic-to-Target
Topic 1,Jesus,29,Topic-to-Target
catholics,Do: know,27,Target-to-Tactic
Topic 15,catholics,27,Topic-to-Target
Topic 13,catholic universities,27,Topic-to-Target
Topic 11,christians,24,Topic-to-Target
Topic 6,Church (General),23,Topic-to-Target
Topic 12,catholics,23,Topic-to-Target
Topic 19,god,23,Topic-to-Target
Topic 3,Church (General),23,Topic-to-Target
Topic 5,Church (General),23,Topic-to-Target
Topic 2,Jesus,23,Topic-to-Target
Topic 10,christians,21,Topic-to-Target
Topic 11,white american male,21,Topic-to-Target
Topic 7,god,20,Topic-to-Target
Topic 2,god,20,Topic-to-Target
Topic 1,bishops,20,Topic-to-Target
catholics,Do: have,20,Target-to-Tactic
Topic 3,gay people,19,Topic-to-Target
Topic 17,Christianity,19,Topic-to-Target
Topic 5,Jesus,19,Topic-to-Target
Jesus,Do: say,16,Target-to-Tactic
catholics,Do: say,15,Target-to-Tactic
Topic 6,Priests/Clergy,15,Topic-to-Target
catholics,Do: believe,15,Target-to-Tactic
Topic 8,Church (General),14,Topic-to-Target
catholics,Is: sure,14,Target-to-Tactic
Topic 7,man,14,Topic-to-Target
Topic 9,Jesus,14,Topic-to-Target
Topic 7,Jesus,13,Topic-to-Target
Church (General),Do: teach,13,Target-to-Tactic
Topic 12,Jesus,13,Topic-to-Target
Topic 1,evangelicals,12,Topic-to-Target
Topic 8,women,11,Topic-to-Target
catholics,Do: see,11,Target-to-Tactic
catholics,Do: do,11,Target-to-Tactic
Topic 17,that person,11,Topic-to-Target
catholics,Do: agree,11,Target-to-Tactic
Topic 12,Church (General),10,Topic-to-Target
Topic 5,god,10,Topic-to-Target
catholics,Do: like,10,Target-to-Tactic
Priests/Clergy,Do: think,10,Target-to-Tactic
catholics,Do: want,10,Target-to-Tactic
bishops,Do: think,10,Target-to-Tactic
Priests/Clergy,Do: believe,10,Target-to-Tactic
Topic 3,Jesus,9,Topic-to-Target
bishops,Do: know,9,Target-to-Tactic
bishops,Do: believe,9,Target-to-Tactic
catholics,Do: find,9,Target-to-Tactic
bishops,Do: have,9,Target-to-Tactic
Topic 4,妇人,9,Topic-to-Target
Jesus,Act_on: tell,9,Target-to-Tactic
Priests/Clergy,Do: have,9,Target-to-Tactic
Topic 18,ncr,9,Topic-to-Target
Topic 14,people,8,Topic-to-Target
Topic 5,Priests/Clergy,8,Topic-to-Target
Topic 4,Priests/Clergy,8,Topic-to-Target
Topic 3,Priests/Clergy,8,Topic-to-Target
christians,Do: think,8,Target-to-Tactic
Topic 6,cc,8,Topic-to-Target
Topic 7,Church (General),8,Topic-to-Target
catholics,Do: hear,8,Target-to-Tactic
Topic 18,Church (General),7,Topic-to-Target
Topic 16,homer,7,Topic-to-Target
catholics,Do: go,7,Target-to-Tactic
Topic 16,trudeau,7,Topic-to-Target
Topic 15,Church (General),7,Topic-to-Target
bishops,Do: say,7,Target-to-Tactic
安倍は統一教会とズブズブ,Do: なる,7,Target-to-Tactic
Priests/Clergy,Do: agree,7,Target-to-Tactic
Topic 8,woman,7,Topic-to-Target
women,Act_on: ordain,7,Target-to-Tactic
catholics,Do: read,7,Target-to-Tactic
catholics,Do: understand,7,Target-to-Tactic
Jesus,Do: teach,6,Target-to-Tactic
Topic 6,catholics,6,Topic-to-Target
Church (General),Do: have,6,Target-to-Tactic
安倍は統一教会とズブズブ,Do: 会う,6,Target-to-Tactic
bishops,Do: hope,6,Target-to-Tactic
安倍は統一教会とズブズブ,Do: する,6,Target-to-Tactic
Church (General),Act_on: leave,6,Target-to-Tactic
安倍は統一教会とズブズブ,Do: ある,6,Target-to-Tactic
安倍は統一教会とズブズブ,Do: 潰す,6,Target-to-Tactic
Topic 9,イエス,6,Topic-to-Target
catholics,Do: wonder,6,Target-to-Tactic
Topic 13,people,6,Topic-to-Target
catholics,Do: vote,6,Target-to-Tactic
Topic 15,authentic catholics,6,Topic-to-Target
Topic 13,religion,6,Topic-to-Target
women,Act_on: call,5,Target-to-Tactic
god,Do: want,5,Target-to-Tactic
pharisee,Do: believe,5,Target-to-Tactic
catholics,Do: take,5,Target-to-Tactic
Priests/Clergy,Do: hope,5,Target-to-Tactic
catholics,Do: get,5,Target-to-Tactic
bishops,Do: agree,5,Target-to-Tactic
bishops,Do: do,5,Target-to-Tactic
christians,Do: find,5,Target-to-Tactic
catholics,Do: tell,5,Target-to-Tactic
Church (General),Do: make,5,Target-to-Tactic
god,Act_on: love,5,Target-to-Tactic
安倍は統一教会とズブズブ,Do: 言う,5,Target-to-Tactic
Priests/Clergy,Act_on: ordain,5,Target-to-Tactic
christians,Do: have,5,Target-to-Tactic
Topic 0,Unification Church,5,Topic-to-Target
catholics,Do: feel,5,Target-to-Tactic
Unification Church,Do: _,4,Target-to-Tactic
安倍は統一教会とズブズブ,Act_on: 擁護,4,Target-to-Tactic
Topic 9,孔庆东,4,Topic-to-Target
Topic 11,Jesus,4,Topic-to-Target
Topic 10,Jesus,4,Topic-to-Target
Church (General),Do: come,4,Target-to-Tactic
women,Do: ordain,4,Target-to-Tactic
Topic 19,Church (General),4,Topic-to-Target
Jesus,Do: want,4,Target-to-Tactic
Jesus,Act_on: lead,4,Target-to-Tactic
Topic 19,tax collector,4,Topic-to-Target
god,Do: call,4,Target-to-Tactic
catholics,Do: mean,4,Target-to-Tactic
women,Do: have,4,Target-to-Tactic
fundamentalist christian,Do: think,4,Target-to-Tactic
trump,Act_on: elect,4,Target-to-Tactic
god,Do: have,4,Target-to-Tactic
Topic 12,Pope,4,Topic-to-Target
Church (General),Do: say,4,Target-to-Tactic
bishops,Do: ’m,4,Target-to-Tactic
bishops,Do: take,4,Target-to-Tactic
catholics,Do: hope,4,Target-to-Tactic
Priests/Clergy,Is: sure,4,Target-to-Tactic
catholics,Do: need,4,Target-to-Tactic
catholics,Do: remember,4,Target-to-Tactic
安倍は統一教会とズブズブ,Act_on: 殺す,4,Target-to-Tactic
Jesus,Do: do,4,Target-to-Tactic
catholics,Do: mention,4,Target-to-Tactic
catholic schools,Do: use,4,Target-to-Tactic
Church (General),Do: change,4,Target-to-Tactic
catholics,Do: worship,4,Target-to-Tactic
christians,Do: believe,4,Target-to-Tactic
bishops,Do: feel,3,Target-to-Tactic
catholics,Is: surprised,3,Target-to-Tactic
catholics,Do: pay,3,Target-to-Tactic
Topic 12,god,3,Topic-to-Target
Topic 10,wright,3,Topic-to-Target
Jesus,Act_on: follow,3,Target-to-Tactic
catholics,Do: spend,3,Target-to-Tactic
安倍は統一教会とズブズブ,Do: 知る,3,Target-to-Tactic
bishops,Do: want,3,Target-to-Tactic
catholics,Is: catholic,3,Target-to-Tactic
god,Do: love,3,Target-to-Tactic
catholics,Do: teach,3,Target-to-Tactic
安倍は統一教会とズブズブ,Do: 殺す,3,Target-to-Tactic
安倍は統一教会とズブズブ,Do: 入る,3,Target-to-Tactic
安倍は統一教会とズブズブ,Act_on: 信じる,3,Target-to-Tactic
日本会議,Act_on: する,3,Target-to-Tactic
安倍は統一教会とズブズブ,Do: 起こす,3,Target-to-Tactic
安倍は統一教会とズブズブ,Act_on: 潰す,3,Target-to-Tactic
Christianity,Do: pray,3,Target-to-Tactic
christians,Do: say,3,Target-to-Tactic
catholics,Do: hate,3,Target-to-Tactic
安倍は統一教会とズブズブ,Do: 容れる,3,Target-to-Tactic
安倍は統一教会とズブズブ,Do: ?,3,Target-to-Tactic
catholics,Do: write,3,Target-to-Tactic
god,Do: create,3,Target-to-Tactic
fundamentalist christian,Do: ask,3,Target-to-Tactic
trump,Do: win,3,Target-to-Tactic
catholics,Do: ask,3,Target-to-Tactic
christians,Do: wonder,3,Target-to-Tactic
catholics,Do: suspect,3,Target-to-Tactic
Jesus,Do: know,3,Target-to-Tactic
catholic schools,Do: have,3,Target-to-Tactic
bishops,Do: like,3,Target-to-Tactic
white american male,Act_on: do,3,Target-to-Tactic
bishops,Do: tell,3,Target-to-Tactic
women,Act_on: choose,3,Target-to-Tactic
christians,Do: hope,3,Target-to-Tactic
catholics,Act_on: include,3,Target-to-Tactic
bishops,Do: meet,3,Target-to-Tactic
Church (General),Do: do,3,Target-to-Tactic
Jesus,Act_on: teach,3,Target-to-Tactic
Topic 17,god,3,Topic-to-Target
catholics,Do: love,3,Target-to-Tactic
bishops,Do: suspect,3,Target-to-Tactic
christians,Is: sure,3,Target-to-Tactic
Priests/Clergy,Do: need,3,Target-to-Tactic
Topic 14,Church (General),3,Topic-to-Target
Topic 9,god,3,Topic-to-Target
Priests/Clergy,Do: go,3,Target-to-Tactic
Jesus,Do: have,3,Target-to-Tactic
bishops,Do: find,3,Target-to-Tactic
women,Act_on: include,3,Target-to-Tactic
bishops,Do: learn,3,Target-to-Tactic
trump,Do: say,3,Target-to-Tactic
pharisee,Do: think,3,Target-to-Tactic
catholics,Is: -,3,Target-to-Tactic
Christianity,Do: think,3,Target-to-Tactic
catholics,Do: suggest,3,Target-to-Tactic
Christianity,Act_on: do,3,Target-to-Tactic
catholics,Do: miss,2,Target-to-Tactic
catholics,Is: troll,2,Target-to-Tactic
bishops,Do: misinterpret,2,Target-to-Tactic
fundamentalist christian,Do: guess,2,Target-to-Tactic
Church (General),Do: need,2,Target-to-Tactic
bishops,Is: sorry,2,Target-to-Tactic
Topic 4,bluto,2,Topic-to-Target
christians,Do: raise,2,Target-to-Tactic
god,Act_on: reject,2,Target-to-Tactic
catholics,Is: embarrassed,2,Target-to-Tactic
christians,Do: follow,2,Target-to-Tactic
man,Do: have,2,Target-to-Tactic
catholics,Do: describe,2,Target-to-Tactic
Topic 17,zsvw0cavalyy,2,Topic-to-Target
Priests/Clergy,Act_on: call,2,Target-to-Tactic
Priests/Clergy,Do: hear,2,Target-to-Tactic
Topic 16,christian,2,Topic-to-Target
自民党,Do: レス,2,Target-to-Tactic
catholics,Do: give,2,Target-to-Tactic
catholics,Do: support,2,Target-to-Tactic
catholics,Do: study,2,Target-to-Tactic
catholics,Do: pray,2,Target-to-Tactic
catholics,Do: consider,2,Target-to-Tactic
bishops,Is: afraid,2,Target-to-Tactic
Church (General),Do: reach,2,Target-to-Tactic
Priests/Clergy,Is: interested,2,Target-to-Tactic
安倍は統一教会とズブズブ,Act_on: 批判,2,Target-to-Tactic
Priests/Clergy,Do: like,2,Target-to-Tactic
bishops,Do: let,2,Target-to-Tactic
安倍は統一教会とズブズブ,Do: 許せる,2,Target-to-Tactic
Church (General),Act_on: shut,2,Target-to-Tactic
catholic schools,Do: remember,2,Target-to-Tactic
catholics,Do: work,2,Target-to-Tactic
catholics,Act_on: lie,2,Target-to-Tactic
christians,Do: state,2,Target-to-Tactic
Priests/Clergy,Do: tell,2,Target-to-Tactic
catholics,Do: guess,2,Target-to-Tactic
bishops,Do: put,2,Target-to-Tactic
catholics,Do: make,2,Target-to-Tactic
Topic 18,msw,2,Topic-to-Target
catholics,Do: talk,2,Target-to-Tactic
god,Is: merciful,2,Target-to-Tactic
catholic universities,Do: say,2,Target-to-Tactic
Christianity,Is: christian,2,Target-to-Tactic
Christianity,Do: have,2,Target-to-Tactic
god,Act_on: thank,2,Target-to-Tactic
Jesus,Do: live,2,Target-to-Tactic
god,Do: promise,2,Target-to-Tactic
Jesus,Do: go,2,Target-to-Tactic
bishops,Do: see,2,Target-to-Tactic
catholics,Do: follow,2,Target-to-Tactic
catholics,Do: assure,2,Target-to-Tactic
bishops,Do: wonder,2,Target-to-Tactic
Jesus,Do: give,2,Target-to-Tactic
women,Is: willing,2,Target-to-Tactic
Church (General),Do: want,2,Target-to-Tactic
Priests/Clergy,Do: say,2,Target-to-Tactic
Jesus,Act_on: help,2,Target-to-Tactic
women,Do: go,2,Target-to-Tactic
women,Do: treat,2,Target-to-Tactic
god,Do: bless,2,Target-to-Tactic
Jesus,Do: show,2,Target-to-Tactic
catholics,Do: forgive,2,Target-to-Tactic
catholics,Do: point,2,Target-to-Tactic
Topic 7,moses,2,Topic-to-Target
catholics,Is: happy,2,Target-to-Tactic
Church (General),Act_on: protect,2,Target-to-Tactic
Priests/Clergy,Act_on: protect,2,Target-to-Tactic
Jesus,Act_on: ask,2,Target-to-Tactic
catholic schools,Do: find,2,Target-to-Tactic
catholic schools,Do: start,2,Target-to-Tactic
bishops,Do: speak,2,Target-to-Tactic
god,Do: make,2,Target-to-Tactic
catholics,Is: pro,2,Target-to-Tactic
Priests/Clergy,Do: call,2,Target-to-Tactic
women,Do: exercise,2,Target-to-Tactic
god,Do: choose,2,Target-to-Tactic
catholics,Do: watch,2,Target-to-Tactic
Church (General),Do: become,2,Target-to-Tactic
Jesus,Do: forgive,2,Target-to-Tactic
women,Do: serve,2,Target-to-Tactic
Jesus,Act_on: convince,2,Target-to-Tactic
man,Do: create,2,Target-to-Tactic
catholics,Do: look,2,Target-to-Tactic
Church (General),Act_on: run,2,Target-to-Tactic
bishops,Do: suggest,2,Target-to-Tactic
Church (General),Do: know,2,Target-to-Tactic
catholics,Is: sorry,2,Target-to-Tactic
authentic catholics,Do: die,2,Target-to-Tactic
Jesus,Do: choose,2,Target-to-Tactic
Priests/Clergy,Do: live,2,Target-to-Tactic
pharisee,Do: go,2,Target-to-Tactic
god,Do: limit,2,Target-to-Tactic
Church (General),Do: continue,2,Target-to-Tactic
Jesus,Act_on: ignore,2,Target-to-Tactic
catholic universities,Is: inappropriate,2,Target-to-Tactic
pharisee,Do: do,2,Target-to-Tactic
women,Is: priests,2,Target-to-Tactic
women,Do: move,2,Target-to-Tactic
man,Act_on: have,2,Target-to-Tactic
Church (General),Do: offer,2,Target-to-Tactic
Church (General),Do: reject,2,Target-to-Tactic
Church (General),Do: permit,2,Target-to-Tactic
trump,Is: christian,2,Target-to-Tactic
Priests/Clergy,Do: see,2,Target-to-Tactic
Church (General),Act_on: lead,2,Target-to-Tactic
catholic schools,Do: care,2,Target-to-Tactic
Jesus,Do: institute,2,Target-to-Tactic
Christianity,Is: okay,2,Target-to-Tactic
fundamentalist christian,Do: know,2,Target-to-Tactic
catholics,Do: prefer,2,Target-to-Tactic
fundamentalist christian,Do: understand,2,Target-to-Tactic
gay people,Do: have,2,Target-to-Tactic
trump,Is: plant,2,Target-to-Tactic
women,Act_on: have,2,Target-to-Tactic
Church (General),Do: ordain,2,Target-to-Tactic
Priests/Clergy,Act_on: send,2,Target-to-Tactic
Priests/Clergy,Act_on: create,2,Target-to-Tactic
women,Do: give,2,Target-to-Tactic
god,Do: send,2,Target-to-Tactic
catholics,Do: criticize,2,Target-to-Tactic
Priests/Clergy,Act_on: shelter,2,Target-to-Tactic
bishops,Do: guess,2,Target-to-Tactic
catholics,Do: stick,2,Target-to-Tactic
Priests/Clergy,Do: want,2,Target-to-Tactic
god,Act_on: need,2,Target-to-Tactic
Priests/Clergy,Do: know,2,Target-to-Tactic
Priests/Clergy,Do: find,2,Target-to-Tactic
christians,Do: apologize,2,Target-to-Tactic
Jesus,Is: god,2,Target-to-Tactic
catholics,Is: interested,2,Target-to-Tactic
christians,Do: prefer,2,Target-to-Tactic
christians,Do: like,2,Target-to-Tactic
god,Do: use,2,Target-to-Tactic
Topic 4,Jesus,2,Topic-to-Target
catholics,Do: keep,2,Target-to-Tactic
bishops,Do: forgive,2,Target-to-Tactic
christians,Do: doubt,2,Target-to-Tactic
homer,Act_on: change,2,Target-to-Tactic
Christianity,Do: teach,2,Target-to-Tactic
bishops,Do: assure,2,Target-to-Tactic
gay people,Do: leave,2,Target-to-Tactic
trump,Is: empathatic,2,Target-to-Tactic
Jesus,Do: save,2,Target-to-Tactic
catholics,Do: fear,2,Target-to-Tactic
catholics,Is: supporter,2,Target-to-Tactic
gay people,Act_on: welcome,2,Target-to-Tactic
bishops,Do: disagree,2,Target-to-Tactic
evangelicals,Do: have,2,Target-to-Tactic
fundamentalist christian,Do: say,2,Target-to-Tactic
christians,Act_on: practise,2,Target-to-Tactic
Christianity,Do: care,2,Target-to-Tactic
catholics,Do: wait,2,Target-to-Tactic
catholic schools,Do: do,2,Target-to-Tactic
christians,Do: remember,2,Target-to-Tactic
Jesus,Act_on: prevent,2,Target-to-Tactic
安倍は統一教会とズブズブ,Do: 要求,2,Target-to-Tactic
安倍は統一教会とズブズブ,Do: いく,2,Target-to-Tactic
安倍は統一教会とズブズブ,Do: 使う,2,Target-to-Tactic
bishops,Do: wish,2,Target-to-Tactic
trump,Do: speak,2,Target-to-Tactic
catholic schools,Do: hope,2,Target-to-Tactic
安倍は統一教会とズブズブ,Do: 言い訳,2,Target-to-Tactic
安倍は統一教会とズブズブ,Do: 騙す,2,Target-to-Tactic
安倍は統一教会とズブズブ,Act_on: 取る,2,Target-to-Tactic
安倍は統一教会とズブズブ,Do: 信じる,2,Target-to-Tactic
日本会議,Do: する,2,Target-to-Tactic
安倍は統一教会とズブズブ,Do: 思う,2,Target-to-Tactic
自民党,Act_on: 支持,2,Target-to-Tactic
pharisee,Do: have,2,Target-to-Tactic
bishops,Act_on: teach,2,Target-to-Tactic
安倍は統一教会とズブズブ,Do: やる,2,Target-to-Tactic
安倍は統一教会とズブズブ,Do: 信ずる,2,Target-to-Tactic
安倍は統一教会とズブズブ,Do: 捏ちる,2,Target-to-Tactic
安倍は統一教会とズブズブ,Do: 統治,2,Target-to-Tactic
日本会議,Do: 苦しめる,2,Target-to-Tactic
安倍は統一教会とズブズブ,Do: 壊滅,2,Target-to-Tactic
自民党,Act_on: 追う,2,Target-to-Tactic
安倍は統一教会とズブズブ,Do: 主張,2,Target-to-Tactic
イエス,Do: 主張,2,Target-to-Tactic
日本会議,Act_on: 破壊,2,Target-to-Tactic
安倍は統一教会とズブズブ,Do: 叩く,2,Target-to-Tactic
安倍は統一教会とズブズブ,Act_on: 守る,2,Target-to-Tactic
自民党,Do: ?,2,Target-to-Tactic
安倍は統一教会とズブズブ,Do: 関わる,2,Target-to-Tactic
日本会議,Act_on: 飛ばす,2,Target-to-Tactic
安倍は統一教会とズブズブ,Act_on: 見る,2,Target-to-Tactic
安倍は統一教会とズブズブ,Do: 差別,2,Target-to-Tactic
安倍は統一教会とズブズブ,Do: 飾る,2,Target-to-Tactic
安倍は統一教会とズブズブ,Do: 奪う,2,Target-to-Tactic
安倍は統一教会とズブズブ,Do: 指導,2,Target-to-Tactic
安倍は統一教会とズブズブ,Do: 批判,2,Target-to-Tactic
安倍は統一教会とズブズブ,Do: 死滅,2,Target-to-Tactic
自民党,Do: 言う,2,Target-to-Tactic
pharisee,Is: sorry,1,Target-to-Tactic
god,Is: love,1,Target-to-Tactic
pharisee,Do: need,1,Target-to-Tactic
pharisee,Do: guess,1,Target-to-Tactic
catholics,Is: cana,1,Target-to-Tactic
white american male,Act_on: accuse,1,Target-to-Tactic
christians,Do: play,1,Target-to-Tactic
christians,Do: write,1,Target-to-Tactic
catholic universities,Do: represent,1,Target-to-Tactic
catholic schools,Do: object,1,Target-to-Tactic
catholic universities,Do: stay,1,Target-to-Tactic
fundamentalist christian,Is: certain,1,Target-to-Tactic
fundamentalist christian,Do: give,1,Target-to-Tactic
Christianity,Do: reject,1,Target-to-Tactic
Christianity,Act_on: reposte,1,Target-to-Tactic
fundamentalist christian,Do: reposte,1,Target-to-Tactic
Church (General),Act_on: characterise,1,Target-to-Tactic
catholics,Do: arrive,1,Target-to-Tactic
trump,Do: make,1,Target-to-Tactic
god,Is: who,1,Target-to-Tactic
catholics,Do: venture,1,Target-to-Tactic
Jesus,Act_on: thank,1,Target-to-Tactic
women,Do: make,1,Target-to-Tactic
Pope,Act_on: tell,1,Target-to-Tactic
catholics,Is: award,1,Target-to-Tactic
catholics,Do: acknowledge,1,Target-to-Tactic
catholic schools,Do: try,1,Target-to-Tactic
ncr,Do: become,1,Target-to-Tactic
catholics,Do: meet,1,Target-to-Tactic
catholics,Do: care,1,Target-to-Tactic
Priests/Clergy,Do: mean,1,Target-to-Tactic
Priests/Clergy,Do: guess,1,Target-to-Tactic
bishops,Do: condemn,1,Target-to-Tactic
that person,Act_on: do,1,Target-to-Tactic
fundamentalist christian,Do: look,1,Target-to-Tactic
that person,Is: attitude,1,Target-to-Tactic
catholic universities,Do: apply,1,Target-to-Tactic
religion,Act_on: practice,1,Target-to-Tactic
Jesus,Do: care,1,Target-to-Tactic
women,Do: consider,1,Target-to-Tactic
bishops,Do: need,1,Target-to-Tactic
bishops,Do: interpret,1,Target-to-Tactic
bishops,Do: admit,1,Target-to-Tactic
trump,Do: lead,1,Target-to-Tactic
trudeau,Do: apologize,1,Target-to-Tactic
Christianity,Do: lump,1,Target-to-Tactic
bishops,Do: love,1,Target-to-Tactic
bishops,Do: deny,1,Target-to-Tactic
Jesus,Act_on: label,1,Target-to-Tactic
man,Act_on: bite,1,Target-to-Tactic
moses,Do: make,1,Target-to-Tactic
moses,Do: lift,1,Target-to-Tactic
bishops,Is: acts,1,Target-to-Tactic
bishops,Is: aware,1,Target-to-Tactic
evangelicals,Act_on: dupe,1,Target-to-Tactic
bishops,Do: name,1,Target-to-Tactic
pharisee,Do: entrust,1,Target-to-Tactic
pharisee,Do: miss,1,Target-to-Tactic
trump,Act_on: blame,1,Target-to-Tactic
Jesus,Act_on: keep,1,Target-to-Tactic
Jesus,Act_on: bless,1,Target-to-Tactic
Priests/Clergy,Do: let,1,Target-to-Tactic
Priests/Clergy,Do: get,1,Target-to-Tactic
Church (General),Do: create,1,Target-to-Tactic
catholic universities,Act_on: fund,1,Target-to-Tactic
gay people,Act_on: know,1,Target-to-Tactic
bishops,Is: old,1,Target-to-Tactic
catholics,Is: evangelical,1,Target-to-Tactic
bishops,Do: read,1,Target-to-Tactic
Priests/Clergy,Do: suspect,1,Target-to-Tactic
Priests/Clergy,Do: sadden,1,Target-to-Tactic
Priests/Clergy,Do: commit,1,Target-to-Tactic
women,Do: deny,1,Target-to-Tactic
women,Do: show,1,Target-to-Tactic
Church (General),Is: honest,1,Target-to-Tactic
authentic catholics,Do: marry,1,Target-to-Tactic
Church (General),Do: live,1,Target-to-Tactic
Church (General),Do: believe,1,Target-to-Tactic
Church (General),Is: pure,1,Target-to-Tactic
Church (General),Is: what,1,Target-to-Tactic
Church (General),Is: political,1,Target-to-Tactic
Church (General),Do: fit,1,Target-to-Tactic
bishops,Do: change,1,Target-to-Tactic
bishops,Do: move,1,Target-to-Tactic
bishops,Is: surprised,1,Target-to-Tactic
bishops,Do: urge,1,Target-to-Tactic
Jesus,Do: sire,1,Target-to-Tactic
god,Do: ensure,1,Target-to-Tactic
Jesus,Do: marry,1,Target-to-Tactic
Christianity,Do: feel,1,Target-to-Tactic
Church (General),Act_on: shutdown,1,Target-to-Tactic
trump,Is: heartbeat,1,Target-to-Tactic
Jesus,Act_on: set,1,Target-to-Tactic
