Source,Target,Weight,Type
Church (General),Do: help,1,Target-to-Tactic
catholics,Do: enjoy,1,Target-to-Tactic
christians,Do: tell,1,Target-to-Tactic
christians,Do: get,1,Target-to-Tactic
ncr,Do: use,1,Target-to-Tactic
Priests/Clergy,Act_on: put,1,Target-to-Tactic
pharisee,Is: sure,1,Target-to-Tactic
catholic schools,Is: height,1,Target-to-Tactic
catholic schools,Do: run,1,Target-to-Tactic
catholic universities,Do: design,1,Target-to-Tactic
bishops,Do: die,1,Target-to-Tactic
christians,Do: refer,1,Target-to-Tactic
安倍は統一教会とズブズブ,Do: 加担,1,Target-to-Tactic
Christianity,Is: anonymous,1,Target-to-Tactic
gay people,Is: interested,1,Target-to-Tactic
安倍は統一教会とズブズブ,Do: 送る,1,Target-to-Tactic
gay people,Do: say,1,Target-to-Tactic
安倍は統一教会とズブズブ,Do: 捨てる,1,Target-to-Tactic
catholic schools,Act_on: shut,1,Target-to-Tactic
Church (General),Act_on: hate,1,Target-to-Tactic
trump,Do: do,1,Target-to-Tactic
Priests/Clergy,Do: provide,1,Target-to-Tactic
catholics,Do: disobey,1,Target-to-Tactic
authentic catholics,Do: demand,1,Target-to-Tactic
catholics,Do: deny,1,Target-to-Tactic
Church (General),Is: sorry,1,Target-to-Tactic
trudeau,Act_on: critisize,1,Target-to-Tactic
catholic schools,Do: doubt,1,Target-to-Tactic
catholic schools,Do: suspect,1,Target-to-Tactic
people,Act_on: have,1,Target-to-Tactic
gay people,Act_on: regard,1,Target-to-Tactic
bishops,Do: understand,1,Target-to-Tactic
catholics,Do: imagine,1,Target-to-Tactic
catholics,Is: furious,1,Target-to-Tactic
catholics,Is: scared,1,Target-to-Tactic
trump,Act_on: normalize,1,Target-to-Tactic
Topic 4,法官,1,Topic-to-Target
Priests/Clergy,Do: guide,1,Target-to-Tactic
Jesus,Act_on: bring,1,Target-to-Tactic
Priests/Clergy,Is: men,1,Target-to-Tactic
women,Act_on: allow,1,Target-to-Tactic
pharisee,Do: say,1,Target-to-Tactic
catholics,Is: tired,1,Target-to-Tactic
Jesus,Do: fix,1,Target-to-Tactic
Church (General),Act_on: skew,1,Target-to-Tactic
white american male,Is: guy,1,Target-to-Tactic
catholic universities,Is: responsibility,1,Target-to-Tactic
bishops,Do: fault,1,Target-to-Tactic
Church (General),Do: find,1,Target-to-Tactic
Jesus,Is: speaker,1,Target-to-Tactic
Church (General),Do: adapt,1,Target-to-Tactic
white american male,Is: interesting,1,Target-to-Tactic
christians,Do: shoot,1,Target-to-Tactic
Jesus,Do: incarnate,1,Target-to-Tactic
god,Act_on: define,1,Target-to-Tactic
women,Act_on: support,1,Target-to-Tactic
women,Is: missionaries,1,Target-to-Tactic
Jesus,Act_on: abandon,1,Target-to-Tactic
Church (General),Do: solve,1,Target-to-Tactic
people,Act_on: prevent,1,Target-to-Tactic
Church (General),Do: stand,1,Target-to-Tactic
Church (General),Is: patriarchal,1,Target-to-Tactic
women,Do: come,1,Target-to-Tactic
god,Act_on: believe,1,Target-to-Tactic
man,Act_on: read,1,Target-to-Tactic
pharisee,Do: answer,1,Target-to-Tactic
Priests/Clergy,Is: willing,1,Target-to-Tactic
Church (General),Act_on: carry,1,Target-to-Tactic
women,Do: carry,1,Target-to-Tactic
women,Do: leave,1,Target-to-Tactic
women,Act_on: shut,1,Target-to-Tactic
Church (General),Do: wait,1,Target-to-Tactic
god,Act_on: bend,1,Target-to-Tactic
Church (General),Do: dictate,1,Target-to-Tactic
women,Is: different,1,Target-to-Tactic
catholic,Act_on: view,1,Target-to-Tactic
Topic 15,catholic,1,Topic-to-Target
catholics,Do: remain,1,Target-to-Tactic
christians,Is: shameful,1,Target-to-Tactic
Priests/Clergy,Do: act,1,Target-to-Tactic
god,Is: constant,1,Target-to-Tactic
Priests/Clergy,Act_on: pay,1,Target-to-Tactic
Priests/Clergy,Act_on: interview,1,Target-to-Tactic
gay people,Is: gay,1,Target-to-Tactic
tax collector,Do: put,1,Target-to-Tactic
Priests/Clergy,Is: grounded,1,Target-to-Tactic
bishops,Do: argue,1,Target-to-Tactic
trump,Act_on: support,1,Target-to-Tactic
Priests/Clergy,Do: advocate,1,Target-to-Tactic
trump,Act_on: give,1,Target-to-Tactic
trump,Is: jesus,1,Target-to-Tactic
fundamentalist christian,Do: post,1,Target-to-Tactic
that person,Is: choice,1,Target-to-Tactic
fundamentalist christian,Do: claim,1,Target-to-Tactic
fundamentalist christian,Do: disagree,1,Target-to-Tactic
Christianity,Act_on: point,1,Target-to-Tactic
fundamentalist christian,Is: sorry,1,Target-to-Tactic
that person,Do: offend,1,Target-to-Tactic
fundamentalist christian,Act_on: hurt,1,Target-to-Tactic
Church (General),Do: begin,1,Target-to-Tactic
that person,Act_on: get,1,Target-to-Tactic
fundamentalist christian,Is: two,1,Target-to-Tactic
fundamentalist christian,Act_on: call,1,Target-to-Tactic
fundamentalist christian,Do: state,1,Target-to-Tactic
women,Act_on: shoot,1,Target-to-Tactic
women,Is: subject,1,Target-to-Tactic
man,Is: subject,1,Target-to-Tactic
catholics,Do: receive,1,Target-to-Tactic
Priests/Clergy,Is: clueless,1,Target-to-Tactic
catholic universities,Is: all,1,Target-to-Tactic
people,Do: want,1,Target-to-Tactic
catholic schools,Act_on: attend,1,Target-to-Tactic
catholics,Do: refer,1,Target-to-Tactic
trump,Do: humiliate,1,Target-to-Tactic
bishops,Is: clueless,1,Target-to-Tactic
bishops,Act_on: use,1,Target-to-Tactic
bishops,Do: continue,1,Target-to-Tactic
Priests/Clergy,Is: homilists,1,Target-to-Tactic
Church (General),Is: agency,1,Target-to-Tactic
catholics,Do: forget,1,Target-to-Tactic
catholics,Do: exercise,1,Target-to-Tactic
Priests/Clergy,Do: accept,1,Target-to-Tactic
Priests/Clergy,Act_on: harm,1,Target-to-Tactic
Topic 18,Priests/Clergy,1,Topic-to-Target
catholics,Do: worry,1,Target-to-Tactic
catholics,Is: protestants,1,Target-to-Tactic
catholics,Is: what,1,Target-to-Tactic
white american male,Is: reply,1,Target-to-Tactic
bishops,Do: preach,1,Target-to-Tactic
bishops,Do: presume,1,Target-to-Tactic
white american male,Is: war,1,Target-to-Tactic
Church (General),Do: allow,1,Target-to-Tactic
christians,Do: go,1,Target-to-Tactic
white american male,Act_on: describe,1,Target-to-Tactic
christians,Do: guess,1,Target-to-Tactic
evangelicals,Act_on: reveal,1,Target-to-Tactic
man,Is: greater,1,Target-to-Tactic
women,Do: beat,1,Target-to-Tactic
Church (General),Act_on: intend,1,Target-to-Tactic
Jesus,Do: intend,1,Target-to-Tactic
christians,Do: express,1,Target-to-Tactic
christians,Is: veteran,1,Target-to-Tactic
christians,Is: conservative,1,Target-to-Tactic
tax collector,Do: go,1,Target-to-Tactic
Jesus,Is: liar,1,Target-to-Tactic
pharisee,Do: thank,1,Target-to-Tactic
tax collector,Is: humble,1,Target-to-Tactic
pharisee,Act_on: rebuke,1,Target-to-Tactic
Jesus,Do: rebuke,1,Target-to-Tactic
catholic schools,Do: want,1,Target-to-Tactic
Priests/Clergy,Do: talk,1,Target-to-Tactic
Priests/Clergy,Is: god,1,Target-to-Tactic
catholics,Do: figure,1,Target-to-Tactic
Priests/Clergy,Is: consumer,1,Target-to-Tactic
women,Act_on: point,1,Target-to-Tactic
Priests/Clergy,Is: unaware,1,Target-to-Tactic
Church (General),Do: show,1,Target-to-Tactic
women,Do: need,1,Target-to-Tactic
catholics,Do: dare,1,Target-to-Tactic
Jesus,Act_on: crucify,1,Target-to-Tactic
catholics,Do: challenge,1,Target-to-Tactic
Church (General),Do: ammnede,1,Target-to-Tactic
Church (General),Do: declare,1,Target-to-Tactic
catholic universities,Is: whatever,1,Target-to-Tactic
Christianity,Do: address,1,Target-to-Tactic
Church (General),Do: get,1,Target-to-Tactic
Christianity,Do: say,1,Target-to-Tactic
christians,Do: forget,1,Target-to-Tactic
christians,Is: sorry,1,Target-to-Tactic
Christianity,Is: absurd,1,Target-to-Tactic
Jesus,Do: rise,1,Target-to-Tactic
Unification Church,Do: have,1,Target-to-Tactic
Priests/Clergy,Do: boyz,1,Target-to-Tactic
god,Do: judge,1,Target-to-Tactic
god,Do: hat,1,Target-to-Tactic
Jesus,Is: savior,1,Target-to-Tactic
Church (General),Is: strapped,1,Target-to-Tactic
Jesus,Act_on: get,1,Target-to-Tactic
Church (General),Do: choke,1,Target-to-Tactic
women,Do: create,1,Target-to-Tactic
women,Act_on: seduce,1,Target-to-Tactic
women,Do: seduce,1,Target-to-Tactic
women,Is: inferior,1,Target-to-Tactic
women,Do: shackle,1,Target-to-Tactic
catholics,Do: learn,1,Target-to-Tactic
catholics,Do: post,1,Target-to-Tactic
trump,Act_on: back,1,Target-to-Tactic
Church (General),Do: discriminate,1,Target-to-Tactic
white american male,Do: take,1,Target-to-Tactic
Jesus,Do: command,1,Target-to-Tactic
white american male,Do: make,1,Target-to-Tactic
catholics,Do: check,1,Target-to-Tactic
Jesus,Do: shun,1,Target-to-Tactic
Jesus,Do: break,1,Target-to-Tactic
bishops,Do: endorse,1,Target-to-Tactic
bishops,Do: call,1,Target-to-Tactic
bishops,Do: visit,1,Target-to-Tactic
trudeau,Do: set,1,Target-to-Tactic
bishops,Do: blame,1,Target-to-Tactic
Priests/Clergy,Act_on: elevate,1,Target-to-Tactic
christians,Do: feel,1,Target-to-Tactic
white american male,Is: correct,1,Target-to-Tactic
catholics,Do: appear,1,Target-to-Tactic
Jesus,Do: use,1,Target-to-Tactic
Christianity,Is: lutheran,1,Target-to-Tactic
christians,Do: miss,1,Target-to-Tactic
Topic 14,christians,1,Topic-to-Target
Christianity,Do: hear,1,Target-to-Tactic
Christianity,Is: better,1,Target-to-Tactic
catholics,Act_on: accompany,1,Target-to-Tactic
catholics,Is: impressed,1,Target-to-Tactic
women,Do: grant,1,Target-to-Tactic
women,Act_on: lead,1,Target-to-Tactic
catholics,Do: state,1,Target-to-Tactic
catholics,Is: devoted,1,Target-to-Tactic
catholics,Do: object,1,Target-to-Tactic
Jesus,Do: watch,1,Target-to-Tactic
Jesus,Act_on: exploit,1,Target-to-Tactic
Jesus,Do: steer,1,Target-to-Tactic
god,Do: allow,1,Target-to-Tactic
Jesus,Do: deal,1,Target-to-Tactic
Priests/Clergy,Is: example,1,Target-to-Tactic
Jesus,Do: touch,1,Target-to-Tactic
catholics,Do: address,1,Target-to-Tactic
bishops,Do: stand,1,Target-to-Tactic
bishops,Do: admire,1,Target-to-Tactic
bishops,Do: teach,1,Target-to-Tactic
catholics,Do: gag,1,Target-to-Tactic
catholic universities,Act_on: try,1,Target-to-Tactic
catholic universities,Do: follow,1,Target-to-Tactic
white american male,Act_on: block,1,Target-to-Tactic
white american male,Act_on: believe,1,Target-to-Tactic
Priests/Clergy,Do: care,1,Target-to-Tactic
ncr,Do: know,1,Target-to-Tactic
Christianity,Do: come,1,Target-to-Tactic
god,Act_on: deny,1,Target-to-Tactic
trump,Act_on: bless,1,Target-to-Tactic
catholics,Is: convinced,1,Target-to-Tactic
fundamentalist christian,Do: hope,1,Target-to-Tactic
fundamentalist christian,Do: continue,1,Target-to-Tactic
that person,Do: consider,1,Target-to-Tactic
fundamentalist christian,Do: make,1,Target-to-Tactic
Christianity,Is: best,1,Target-to-Tactic
god,Is: father,1,Target-to-Tactic
Priests/Clergy,Do: abandon,1,Target-to-Tactic
catholics,Is: american,1,Target-to-Tactic
Jesus,Do: attack,1,Target-to-Tactic
Priests/Clergy,Act_on: need,1,Target-to-Tactic
Priests/Clergy,Do: trust,1,Target-to-Tactic
catholics,Do: prelate,1,Target-to-Tactic
trump,Do: strangle,1,Target-to-Tactic
people,Do: give,1,Target-to-Tactic
fundamentalist christian,Do: take,1,Target-to-Tactic
catholics,Is: angry,1,Target-to-Tactic
catholics,Do: plant,1,Target-to-Tactic
catholics,Is: unitarian,1,Target-to-Tactic
catholics,Do: leave,1,Target-to-Tactic
trump,Do: represent,1,Target-to-Tactic
trump,Is: abomination,1,Target-to-Tactic
Christianity,Is: therapy,1,Target-to-Tactic
Church (General),Do: deny,1,Target-to-Tactic
bishops,Is: priest,1,Target-to-Tactic
Priests/Clergy,Do: promise,1,Target-to-Tactic
catholic schools,Is: sure,1,Target-to-Tactic
women,Is: valuable,1,Target-to-Tactic
catholic universities,Is: university,1,Target-to-Tactic
Jesus,Act_on: divide,1,Target-to-Tactic
catholics,Do: forbid,1,Target-to-Tactic
Church (General),Do: sag,1,Target-to-Tactic
Jesus,Do: come,1,Target-to-Tactic
women,Act_on: make,1,Target-to-Tactic
Jesus,Do: select,1,Target-to-Tactic
catholic schools,Is: school,1,Target-to-Tactic
catholic schools,Act_on: have,1,Target-to-Tactic
catholic schools,Is: christian,1,Target-to-Tactic
catholic universities,Act_on: do,1,Target-to-Tactic
Christianity,Is: catholic,1,Target-to-Tactic
god,Do: do,1,Target-to-Tactic
Jesus,Do: think,1,Target-to-Tactic
trump,Do: show,1,Target-to-Tactic
trump,Is: antithesis,1,Target-to-Tactic
catholic universities,Is: complimentary,1,Target-to-Tactic
catholic universities,Is: good,1,Target-to-Tactic
god,Do: keep,1,Target-to-Tactic
trump,Do: bow,1,Target-to-Tactic
catholics,Do: expect,1,Target-to-Tactic
Jesus,Do: blast,1,Target-to-Tactic
Jesus,Act_on: threaten,1,Target-to-Tactic
自民党,Act_on: 思う,1,Target-to-Tactic
Christianity,Act_on: foist,1,Target-to-Tactic
安倍は統一教会とズブズブ,Do: 借りる,1,Target-to-Tactic
ncr,Do: lead,1,Target-to-Tactic
日本会議,Do: 後援,1,Target-to-Tactic
ncr,Is: publication,1,Target-to-Tactic
安倍は統一教会とズブズブ,Do: 拉致,1,Target-to-Tactic
日本会議,Do: 壊す,1,Target-to-Tactic
Church (General),Act_on: have,1,Target-to-Tactic
catholics,Do: respect,1,Target-to-Tactic
christians,Act_on: wield,1,Target-to-Tactic
christians,Do: live,1,Target-to-Tactic
Jesus,Act_on: love,1,Target-to-Tactic
Church (General),Do: follow,1,Target-to-Tactic
Jesus,Is: skeptical,1,Target-to-Tactic
catholic schools,Act_on: clean,1,Target-to-Tactic
evangelicals,Act_on: have,1,Target-to-Tactic
安倍は統一教会とズブズブ,Act_on: 絶賛,1,Target-to-Tactic
Church (General),Do: join,1,Target-to-Tactic
Pope,Act_on: have,1,Target-to-Tactic
evangelicals,Do: show,1,Target-to-Tactic
安倍は統一教会とズブズブ,Act_on: 載せる,1,Target-to-Tactic
安倍は統一教会とズブズブ,Do: 認める,1,Target-to-Tactic
ncr,Do: 下ろす,1,Target-to-Tactic
安倍は統一教会とズブズブ,Act_on: 捕まえる,1,Target-to-Tactic
安倍は統一教会とズブズブ,Do: 活動,1,Target-to-Tactic
安倍は統一教会とズブズブ,Do: 解散,1,Target-to-Tactic
自民党,Act_on: 入れる,1,Target-to-Tactic
安倍は統一教会とズブズブ,Do: 報道,1,Target-to-Tactic
安倍は統一教会とズブズブ,Do: 糾弾,1,Target-to-Tactic
安倍は統一教会とズブズブ,Do: 見る,1,Target-to-Tactic
安倍は統一教会とズブズブ,Act_on: 暗殺,1,Target-to-Tactic
安倍は統一教会とズブズブ,Do: 担う,1,Target-to-Tactic
日本会議,Do: 切る,1,Target-to-Tactic
自民党,Do: つながる,1,Target-to-Tactic
women,Do: demand,1,Target-to-Tactic
women,Act_on: lie,1,Target-to-Tactic
安倍は統一教会とズブズブ,Act_on: 銃殺,1,Target-to-Tactic
安倍は統一教会とズブズブ,Do: 載る,1,Target-to-Tactic
安倍は統一教会とズブズブ,Do: 拒否,1,Target-to-Tactic
自民党,Act_on: 作る,1,Target-to-Tactic
自民党,Do: ある,1,Target-to-Tactic
women,Do: accord,1,Target-to-Tactic
women,Do: receive,1,Target-to-Tactic
日本会議,Act_on: 取る,1,Target-to-Tactic
日本会議,Do: 騙す,1,Target-to-Tactic
安倍は統一教会とズブズブ,Do: 通報,1,Target-to-Tactic
安倍は統一教会とズブズブ,Do: 過ぎる,1,Target-to-Tactic
安倍は統一教会とズブズブ,Act_on: 肯定,1,Target-to-Tactic
自民党,Do: 劣化,1,Target-to-Tactic
妇人,Act_on: 变成,1,Target-to-Tactic
孔庆东,Act_on: 开,1,Target-to-Tactic
gay people,Do: 维持,1,Target-to-Tactic
妇人,Do: 露,1,Target-to-Tactic
women,Do: choose,1,Target-to-Tactic
Priests/Clergy,Do: accuse,1,Target-to-Tactic
women,Is: products,1,Target-to-Tactic
bishops,Do: defend,1,Target-to-Tactic
catholic universities,Do: work,1,Target-to-Tactic
catholic schools,Is: old,1,Target-to-Tactic
catholic schools,Do: argue,1,Target-to-Tactic
Church (General),Act_on: understand,1,Target-to-Tactic
安倍は統一教会とズブズブ,Act_on: 利用,1,Target-to-Tactic
日本会議,Act_on: 支配,1,Target-to-Tactic
自民党,Act_on: 引く,1,Target-to-Tactic
妇人,Act_on: 見る,1,Target-to-Tactic
安倍は統一教会とズブズブ,Do: 展開,1,Target-to-Tactic
安倍は統一教会とズブズブ,Do: 逮捕,1,Target-to-Tactic
自民党,Do: 武装,1,Target-to-Tactic
安倍は統一教会とズブズブ,Do: 流す,1,Target-to-Tactic
日本会議,Do: 気取り,1,Target-to-Tactic
安倍は統一教会とズブズブ,Act_on: 壊滅,1,Target-to-Tactic
Jesus,Act_on: show,1,Target-to-Tactic
自民党,Do: 潰れる,1,Target-to-Tactic
trump,Do: come,1,Target-to-Tactic
自民党,Act_on: はじめ,1,Target-to-Tactic
homer,Act_on: astound,1,Target-to-Tactic
women,Act_on: 言う,1,Target-to-Tactic
people,Do: deal,1,Target-to-Tactic
Christianity,Do: know,1,Target-to-Tactic
日本会議,Do: ある,1,Target-to-Tactic
trump,Do: express,1,Target-to-Tactic
安倍は統一教会とズブズブ,Act_on: 狙う,1,Target-to-Tactic
安倍は統一教会とズブズブ,Do: 投票,1,Target-to-Tactic
安倍は統一教会とズブズブ,Do: 受ける,1,Target-to-Tactic
安倍は統一教会とズブズブ,Do: 支払う,1,Target-to-Tactic
日本会議,Do: 急増,1,Target-to-Tactic
日本会議,Do: 結婚,1,Target-to-Tactic
catholics,Is: who,1,Target-to-Tactic
安倍は統一教会とズブズブ,Act_on: 作る,1,Target-to-Tactic
catholics,Is: abortion,1,Target-to-Tactic
pharisee,Is: christian,1,Target-to-Tactic
自民党,Act_on: 利用,1,Target-to-Tactic
安倍は統一教会とズブズブ,Do: 組む,1,Target-to-Tactic
安倍は統一教会とズブズブ,Do: 教える,1,Target-to-Tactic
日本会議,Do: 出る,1,Target-to-Tactic
安倍は統一教会とズブズブ,Do: 疑う,1,Target-to-Tactic
安倍は統一教会とズブズブ,Do: 獲得,1,Target-to-Tactic
安倍は統一教会とズブズブ,Do: コピペ,1,Target-to-Tactic
Jesus,Do: hang,1,Target-to-Tactic
自民党,Act_on: 騙す,1,Target-to-Tactic
安倍は統一教会とズブズブ,Do: 推す,1,Target-to-Tactic
安倍は統一教会とズブズブ,Act_on: 敵視,1,Target-to-Tactic
安倍は統一教会とズブズブ,Act_on: 追う,1,Target-to-Tactic
安倍は統一教会とズブズブ,Do: 来る,1,Target-to-Tactic
Jesus,Do: 取る,1,Target-to-Tactic
安倍は統一教会とズブズブ,Do: ボロ負け,1,Target-to-Tactic
trump,Is: like,1,Target-to-Tactic
people,Do: rebel,1,Target-to-Tactic
日本会議,Act_on: 腐る,1,Target-to-Tactic
安倍は統一教会とズブズブ,Do: 潰れる,1,Target-to-Tactic
自民党,Do: 弾圧,1,Target-to-Tactic
catholic schools,Do: destroy,1,Target-to-Tactic
安倍は統一教会とズブズブ,Act_on: 殺害,1,Target-to-Tactic
安倍は統一教会とズブズブ,Act_on: 語る,1,Target-to-Tactic
安倍は統一教会とズブズブ,Do: 認定,1,Target-to-Tactic
日本会議,Do: 作る,1,Target-to-Tactic
catholic universities,Is: mosque,1,Target-to-Tactic
ncr,Act_on: read,1,Target-to-Tactic
trump,Do: look,1,Target-to-Tactic
安倍は統一教会とズブズブ,Act_on: 規制,1,Target-to-Tactic
自民党,Do: 騙す,1,Target-to-Tactic
安倍は統一教会とズブズブ,Do: つける,1,Target-to-Tactic
自民党,Do: 協力,1,Target-to-Tactic
安倍は統一教会とズブズブ,Act_on: シャベチュ,1,Target-to-Tactic
日本会議,Do: なる,1,Target-to-Tactic
安倍は統一教会とズブズブ,Act_on: 調べる,1,Target-to-Tactic
安倍は統一教会とズブズブ,Do: 撃つ,1,Target-to-Tactic
trump,Act_on: influence,1,Target-to-Tactic
安倍は統一教会とズブズブ,Do: 検証,1,Target-to-Tactic
イエス,Do: 実在,1,Target-to-Tactic
日本会議,Do: 破壊,1,Target-to-Tactic
日本会議,Act_on: 差別,1,Target-to-Tactic
安倍は統一教会とズブズブ,Do: 存続,1,Target-to-Tactic
妇人,Act_on: 带,1,Target-to-Tactic
孔庆东,Do: 架钉,1,Target-to-Tactic
安倍は統一教会とズブズブ,Act_on: 保護,1,Target-to-Tactic
god,Act_on: call,1,Target-to-Tactic
Priests/Clergy,Do: object,1,Target-to-Tactic
Church (General),Do: 多,1,Target-to-Tactic
安倍は統一教会とズブズブ,Do: 結託,1,Target-to-Tactic
catholics,Do: comment,1,Target-to-Tactic
安倍は統一教会とズブズブ,Do: さらう,1,Target-to-Tactic
安倍は統一教会とズブズブ,Do: 存在,1,Target-to-Tactic
安倍は統一教会とズブズブ,Do: 行う,1,Target-to-Tactic
安倍は統一教会とズブズブ,Do: 支援,1,Target-to-Tactic
安倍は統一教会とズブズブ,Act_on: 攻撃,1,Target-to-Tactic
安倍は統一教会とズブズブ,Act_on: 使う,1,Target-to-Tactic
自民党,Do: 使う,1,Target-to-Tactic
安倍は統一教会とズブズブ,Act_on: 信ずる,1,Target-to-Tactic
安倍は統一教会とズブズブ,Do: 連呼,1,Target-to-Tactic
catholics,Act_on: make,1,Target-to-Tactic
自民党,Do: 吸う,1,Target-to-Tactic
イエス,Do: つるむ,1,Target-to-Tactic
イエス,Do: 存在,1,Target-to-Tactic
安倍は統一教会とズブズブ,Do: 呼ぶ,1,Target-to-Tactic
安倍は統一教会とズブズブ,Do: 恐れる,1,Target-to-Tactic
日本会議,Do: 気づく,1,Target-to-Tactic
日本会議,Do: 脅かす,1,Target-to-Tactic
安倍は統一教会とズブズブ,Do: いる,1,Target-to-Tactic
自民党,Act_on: 自称,1,Target-to-Tactic
安倍は統一教会とズブズブ,Do: 辞任,1,Target-to-Tactic
安倍は統一教会とズブズブ,Do: つく,1,Target-to-Tactic
日本会議,Act_on: 侵略,1,Target-to-Tactic
安倍は統一教会とズブズブ,Act_on: 崇拝,1,Target-to-Tactic
安倍は統一教会とズブズブ,Do: かかわる,1,Target-to-Tactic
イエス,Do: 生まれる,1,Target-to-Tactic
安倍は統一教会とズブズブ,Do: 苦しめる,1,Target-to-Tactic
Church (General),Do: ?,1,Target-to-Tactic
自民党,Do: 癒着,1,Target-to-Tactic
安倍は統一教会とズブズブ,Act_on: 退治,1,Target-to-Tactic
安倍は統一教会とズブズブ,Do: 分かる,1,Target-to-Tactic
安倍は統一教会とズブズブ,Act_on: 生む,1,Target-to-Tactic
安倍は統一教会とズブズブ,Do: 見え隠れ,1,Target-to-Tactic
authentic catholics,Do: leave,1,Target-to-Tactic
安倍は統一教会とズブズブ,Act_on: 考える,1,Target-to-Tactic
trump,Do: 斥,1,Target-to-Tactic
日本会議,Do: 働く,1,Target-to-Tactic
安倍は統一教会とズブズブ,Act_on: 叩く,1,Target-to-Tactic
安倍は統一教会とズブズブ,Do: 庇護,1,Target-to-Tactic
安倍は統一教会とズブズブ,Act_on: ぶつ,1,Target-to-Tactic
安倍は統一教会とズブズブ,Do: 破滅,1,Target-to-Tactic
日本会議,Do: 協力,1,Target-to-Tactic
日本会議,Act_on: 象徴,1,Target-to-Tactic
日本会議,Act_on: 売る,1,Target-to-Tactic
自民党,Do: 組む,1,Target-to-Tactic
自民党,Do: 望む,1,Target-to-Tactic
安倍は統一教会とズブズブ,Act_on: 引く,1,Target-to-Tactic
安倍は統一教会とズブズブ,Do: 銃撃,1,Target-to-Tactic
安倍は統一教会とズブズブ,Do: 癒着,1,Target-to-Tactic
自民党,Act_on: 操る,1,Target-to-Tactic
zsvw0cavalyy,Do: ow,1,Target-to-Tactic
妇人,Do: 嫁,1,Target-to-Tactic
日本会議,Do: 衰亡,1,Target-to-Tactic
安倍は統一教会とズブズブ,Do: 対立,1,Target-to-Tactic
安倍は統一教会とズブズブ,Act_on: なめる,1,Target-to-Tactic
安倍は統一教会とズブズブ,Act_on: 根絶,1,Target-to-Tactic
自民党,Do: 関係,1,Target-to-Tactic
封建迷信,Act_on: 封建,1,Target-to-Tactic
Jesus,Do: commission,1,Target-to-Tactic
自民党,Do: 考える,1,Target-to-Tactic
日本会議,Act_on: 言う,1,Target-to-Tactic
pharisee,Do: spit,1,Target-to-Tactic
安倍は統一教会とズブズブ,Do: 解体,1,Target-to-Tactic
msw,Act_on: 作る,1,Target-to-Tactic
安倍は統一教会とズブズブ,Do: みる,1,Target-to-Tactic
安倍は統一教会とズブズブ,Do: 匹,1,Target-to-Tactic
妇人,Do: 做,1,Target-to-Tactic
